YEAR,MONTH,DAY,TMAX,TMIN,TMEAN,RAIN,WIND
2017,1,1,-3.89,-12.22,-6.67,0,6.9
2017,1,2,-2.22,-7.78,-3.17,0,7.9
2017,1,3,-7.78,-21.67,-17.06,0,15
2017,1,4,-19.44,-25.00,-21.94,0,7.6
2017,1,5,-20.56,-26.11,-23.33,0,7.1
2017,1,6,-13.33,-25.56,-18.11,0,3.8
2017,1,7,-17.22,-26.11,-22.00,0,2.9
2017,1,8,-6.67,-26.11,-13.94,0,12.8
2017,1,9,-5.56,-17.78,-11.56,0,8.4
2017,1,10,-3.89,-16.11,-11.11,0,10.5
2017,1,11,-14.44,-17.22,-15.83,0,6.5
2017,1,12,-12.78,-23.33,-16.94,0,8.3
2017,1,13,-10.00,-23.33,-15.56,0,8.5
2017,1,14,-6.67,-19.44,-12.83,1.27,3
2017,1,15,0.00,-18.89,-9.56,0,4.1
2017,1,16,0.56,-12.22,-6.56,0,2.7
2017,1,17,-2.78,-15.56,-8.28,0,4.4
2017,1,18,6.11,-6.67,-1.50,0,5.9
2017,1,19,2.22,0.00,1.00,0,10.8
2017,1,20,2.78,1.11,1.89,0,9.5
2017,1,21,1.67,-1.11,0.33,0.508,6.2
2017,1,22,0.00,-2.78,-1.28,0,8.9
2017,1,23,-0.56,-2.22,-1.61,0,5.6
2017,1,24,-1.67,-3.33,-2.11,0,8.2
2017,1,25,-3.33,-5.00,-4.28,0,10.7
2017,1,26,-5.00,-11.11,-7.28,0,11.1
2017,1,27,-3.89,-12.78,-7.06,0,11.2
2017,1,28,-0.56,-5.56,-2.67,0.254,12
2017,1,29,0.56,-3.89,-1.44,0,7.2
2017,1,30,5.00,-1.67,1.56,0,14.4
2017,1,31,1.67,-3.33,-0.61,0,14
2017,2,1,-3.33,-12.78,-9.28,0,11.8
2017,2,2,-9.44,-13.33,-11.83,0,11.5
2017,2,3,-5.00,-16.11,-10.56,0,8.8
2017,2,4,1.67,-8.89,-3.78,0,14.9
2017,2,5,-3.33,-11.67,-7.61,0,7.8
2017,2,6,1.11,-6.11,-3.44,0,7.8
2017,2,7,-4.44,-15.00,-9.83,0,10.6
2017,2,8,-11.11,-18.33,-14.89,0,9.4
