YEAR,MONTH,DAY,TMAX,TMIN,TMEAN,RAIN,RH
2017,1,1,21.2,12.7,16.1,0.00,0.99
2017,1,2,27.3,14.9,21.3,3.56,0.99
2017,1,3,29.3,10.4,22.3,0.00,0.97
2017,1,4,28.8,7.7,17.8,0.00,0.65
2017,1,5,16.7,7.4,12.8,0.00,0.72
2017,1,6,22.7,10.6,16.7,0.00,0.63
2017,1,7,12.8,0.5,4.1,1.27,0.6
2017,1,8,7.7,-6.1,0.4,0.00,0.91
2017,1,9,15,-7.2,5.3,0.00,0.81
2017,1,10,26.1,6.3,16.4,0.00,0.91
2017,1,11,29.7,14,21.5,0.00,0.81
2017,1,12,29.3,14.6,22.3,0.00,0.85
2017,1,13,27.8,17.2,22.8,0.00,0.97
2017,1,14,27.5,21.2,23.6,0.00,0.95
2017,1,15,27.2,20.5,23.1,0.00,0.89
2017,1,16,28.8,20,23.1,0.00,0.95
2017,1,17,27.5,19.6,22.6,0.51,0.87
2017,1,18,26.1,19.7,23.1,0.00,0.95
2017,1,19,23.1,13.3,16.3,2.54,0.99
2017,1,20,22.3,14.6,16.9,0.25,0.99
2017,1,21,20.4,16.5,18.5,0.00,0.99
2017,1,22,34.8,17.4,24.4,0.00,0.36
2017,1,23,25.5,13,20.5,0.00,0.42
2017,1,24,28,7.3,17,0.00,0.6
2017,1,25,33.6,13.4,22.4,0.00,0.89
2017,1,26,26.8,10.1,20.3,0.00,0.47
2017,1,27,21.1,5.7,12.8,0.00,0.61
2017,1,28,19,6,12.2,0.00,0.36
2017,1,29,13.5,5.6,10,0.51,0.76
2017,1,30,22.9,4.2,12.5,0.00,0.47
2017,1,31,26.4,1.3,15,0.00,0.6
2017,2,1,28,2.4,16,0.00,0.86
2017,2,2,30.3,15,21.6,0.00,0.94
2017,2,3,27.2,14.4,20.1,0.00,0.57
2017,2,4,16.9,14.6,15.8,0.00,0.76
2017,2,5,17.8,13.6,15.6,1.02,0.99
2017,2,6,27.4,17,21.1,0.25,0.97
2017,2,7,29.9,20.2,23.8,0.00,0.91
2017,2,8,32.6,17.5,24.2,0.00,0.98
2017,2,9,34.7,18.5,25,0.00,0.6
2017,2,10,23.5,10.3,17.5,0.00,0.79
2017,2,11,29.4,16.9,22.3,0.00,0.97
2017,2,12,33.7,20.9,25.4,0.00,0.98
2017,2,13,29.8,19.2,24,0.00,0.96
2017,2,14,28.6,21.8,24.2,0.00,0.84
2017,2,15,22.8,10.3,19.1,6.10,0.81
2017,2,16,20.5,5,13,0.00,0.81
2017,2,17,23.2,3.1,13.3,0.00,0.8
2017,2,18,29.1,15,20.3,1.78,1
2017,2,19,31.8,12,21.9,0.00,0.97
2017,2,20,28.7,22.3,24.6,0.00,0.92
2017,2,21,23.8,15.8,19.6,11.94,1
2017,2,22,31.9,12.2,20.8,0.25,0.74
2017,2,23,34.1,8.2,20.3,0.00,0.64
2017,2,24,35.8,14,23.4,0.00,0.96
2017,2,25,32.4,16.1,23.3,0.00,0.43
2017,2,26,21.2,9.4,15.2,0.00,0.78
2017,2,27,27.7,11.9,21.4,0.00,0.93
2017,2,28,30.3,20,24.2,0.00,0.96
2017,3,1,33.3,22.3,26.2,0.00,0.96
2017,3,2,29,15.4,23.2,0.76,0.46
2017,3,3,21.9,10.4,16.5,0.00,0.58
2017,3,4,20.6,14.1,17,0.51,0.78
2017,3,5,19.8,14.9,18.1,46.74,1
2017,3,6,26.8,17.9,21.4,0.51,0.99
2017,3,7,28.9,20.5,23.9,0.00,0.96
2017,3,8,28.3,19.1,24.5,0.00,0.9
2017,3,9,26.4,18.6,21.3,0.00,1
2017,3,10,26.4,18.8,22,4.32,1
2017,3,11,23.5,18.9,20.9,30.48,0.98
2017,3,12,25.3,19.1,21.4,27.43,1
2017,3,13,20.6,12.6,16.1,0.00,1
2017,3,14,18.8,10.8,14.2,0.00,1
2017,3,15,23.7,9.3,15.9,0.25,0.91
2017,3,16,23.1,11.5,18.7,0.00,1
2017,3,17,28.6,14.2,21.6,0.00,0.86
2017,3,18,29.1,19.7,23.4,0.00,0.95
2017,3,19,28.9,16.8,22.5,0.00,0.96
2017,3,20,30.2,14.6,22.3,0.00,0.97
2017,3,21,30.8,15.1,23,0.00,0.94
2017,3,22,30.5,16.4,23,0.00,0.86
2017,3,23,29.5,16.6,23.1,0.00,0.94
2017,3,24,30,19.5,23.8,0.00,0.81
