YEAR,MONTH,DAY,TMAX,TMIN,RAIN,SNOW
2017,1,1,1.11,-8.33,0.00,0.00
2017,1,2,5.00,-8.33,0.00,0.00
2017,1,3,2.78,-8.89,0.00,0.00
2017,1,4,-6.11,-15.00,0.00,0.00
2017,1,5,-9.93,-15.56,1.52,25.40
2017,1,6,-12.22,-21.67,0.00,25.40
2017,1,7,-8.33,-21.67,0.00,25.40
2017,1,8,-7.22,-18.89,0.00,25.40
2017,1,9,-1.11,-11.67,0.00,0.00
2017,1,10,-0.56,-8.89,0.00,0.00
2017,1,11,1.67,-5.56,0.76,0.00
2017,1,12,-0.56,-11.67,0.00,0.00
2017,1,13,-6.67,-12.78,0.00,0.00
2017,1,14,-3.89,-10.56,0.00,0.00
2017,1,15,2.78,-8.89,0.00,0.00
2017,1,16,0.56,-2.22,4.83,0.00
2017,1,17,0.00,-3.33,9.14,0.00
2017,1,18,2.78,-4.44,0.00,0.00
2017,1,19,11.67,-2.22,0.00,0.00
2017,1,20,5.56,-1.67,0.00,0.00
2017,1,21,6.11,2.22,0.00,0.00
2017,1,22,11.67,-2.78,0.00,0.00
2017,1,23,3.33,-3.33,0.00,0.00
2017,1,24,3.89,-3.33,0.00,0.00
2017,1,25,2.22,-1.67,1.52,12.70
2017,1,26,-1.11,-5.56,1.52,25.40
2017,1,27,-1.67,-11.11,0.00,25.40
2017,1,28,2.78,-11.11,0.00,25.40
2017,1,29,2.78,-1.67,0.00,0.00
2017,1,30,5.56,-2.22,0.00,0.00
2017,1,31,13.89,-2.22,0.00,0.00
2017,2,1,7.22,-1.11,0.00,0.00
2017,2,2,-0.56,-8.33,0.00,0.00
2017,2,3,-3.33,-9.44,0.00,0.00
2017,2,4,-0.56,-9.44,0.00,0.00
2017,2,5,10.56,-6.67,0.00,0.00
2017,2,6,2.22,-8.33,0.00,0.00
2017,2,7,8.33,-5.00,0.00,0.00
2017,2,8,-1.11,-10.00,0.76,0.00
2017,2,9,-8.33,-13.89,0.76,25.40
2017,2,10,1.11,-11.67,0.00,0.00
2017,2,11,19.44,1.11,0.00,0.00
2017,2,12,14.44,1.11,0.00,0.00
2017,2,13,9.44,-5.56,0.00,0.00
2017,2,14,12.78,-1.67,0.00,0.00
2017,2,15,10.56,-2.78,0.00,0.00
2017,2,16,12.78,-3.89,0.00,0.00
2017,2,17,21.67,1.11,0.00,0.00
2017,2,18,23.33,1.11,0.00,0.00
2017,2,19,18.89,1.11,0.00,0.00
2017,2,20,22.78,2.78,0.00,0.00
2017,2,21,16.67,-1.67,0.00,0.00
2017,2,22,23.33,-3.33,0.00,0.00
2017,2,23,23.33,2.78,0.00,0.00
2017,2,24,5.56,-2.22,8.38,34.80
2017,2,25,-2.22,-8.89,0.76,25.40
2017,2,26,0.56,-10.56,0.00,0.00
2017,2,27,6.67,-6.11,0.00,0.00
2017,2,28,13.33,-6.67,0.00,0.00
2017,3,1,7.22,-2.22,0.00,0.00
2017,3,2,6.67,-8.89,0.00,0.00
2017,3,3,7.22,-8.33,0.00,0.00
2017,3,4,12.22,-6.67,0.00,0.00
2017,3,5,22.22,-3.89,0.00,0.00
2017,3,6,20.56,11.67,0.00,0.00
2017,3,7,25.00,0.56,2.03,0.00
2017,3,8,13.89,-1.11,0.00,0.00
2017,3,9,13.89,-2.22,0.00,0.00
2017,3,10,10.56,-8.89,0.00,0.00
2017,3,11,-3.33,-9.44,0.00,0.00
2017,3,12,-0.56,-6.11,0.00,0.00
2017,3,13,5.56,-5.56,0.51,0.00
2017,3,14,-2.81,-7.22,0.00,0.00
2017,3,15,0.00,-8.33,0.76,0.00
2017,3,16,4.44,-6.11,0.00,0.00
2017,3,17,20.00,-1.67,0.00,0.00
2017,3,18,20.56,-1.11,0.00,0.00
2017,3,19,15.00,-1.67,0.00,0.00
2017,3,20,29.44,6.11,0.00,0.00
2017,3,21,19.44,6.11,0.00,0.00
2017,3,22,7.78,0.00,0.51,0.00
2017,3,23,11.11,-0.56,0.00,0.00
2017,3,24,23.89,6.67,2.79,0.00
2017,3,25,12.22,3.89,17.78,0.00
2017,3,26,5.00,3.33,7.11,0.00
2017,3,27,8.89,3.33,0.51,0.00
2017,3,28,11.11,3.33,0.00,0.00
2017,3,29,9.44,3.89,5.59,0.00
2017,3,30,7.22,3.89,20.32,0.00
2017,3,31,6.67,3.89,0.00,0.00
2017,4,1,12.78,2.78,0.00,0.00
2017,4,2,8.33,3.89,1.78,0.00
2017,4,3,11.67,5.56,0.00,0.00
2017,4,4,16.11,7.22,2.54,0.00
2017,4,5,13.89,5.56,0.00,0.00
2017,4,6,15.56,1.67,0.00,0.00
2017,4,7,14.44,-1.67,0.00,0.00
2017,4,8,19.44,-2.78,0.00,0.00
2017,4,9,25.00,6.67,0.00,0.00
2017,4,10,26.11,6.67,2.54,0.00
2017,4,11,13.89,-2.78,0.00,0.00
2017,4,12,17.78,-2.78,0.00,0.00
2017,4,13,21.11,6.11,2.29,0.00
2017,4,14,25.56,7.78,0.00,0.00
2017,4,15,22.22,13.33,22.35,0.00
2017,4,16,25.00,8.89,0.00,0.00
2017,4,17,21.67,5.56,0.00,0.00
2017,4,18,22.78,6.11,0.00,0.00
2017,4,19,22.22,11.67,10.41,0.00
2017,4,20,26.11,8.33,1.78,0.00
2017,4,21,17.22,5.00,0.00,0.00
2017,4,22,13.33,4.44,0.00,0.00
2017,4,23,18.33,1.67,0.00,0.00
2017,4,24,22.22,1.67,0.00,0.00
2017,4,25,23.89,8.33,0.00,0.00
2017,4,26,10.00,2.22,2.54,0.00
2017,4,27,6.11,2.22,0.00,0.00
2017,4,28,15.00,1.11,3.05,0.00
2017,4,29,5.56,2.78,6.86,0.00
2017,4,30,7.78,2.78,6.10,0.00
2017,5,1,5.56,1.11,27.43,0.00
2017,5,2,13.89,1.11,0.00,0.00
2017,5,3,18.89,6.67,0.00,0.00
2017,5,4,19.44,5.56,4.32,0.00
2017,5,5,20.56,5.56,0.00,0.00
2017,5,6,25.00,6.11,0.00,0.00
2017,5,7,25.00,8.33,0.00,0.00
2017,5,8,28.89,8.33,0.00,0.00
2017,5,9,32.78,14.44,0.00,0.00
2017,5,10,26.11,13.33,3.81,0.00
2017,5,11,17.78,10.56,17.27,0.00
2017,5,12,20.00,7.22,0.00,0.00
2017,5,13,23.33,7.78,0.00,0.00
2017,5,14,26.11,10.56,0.00,0.00
2017,5,15,30.56,14.44,0.00,0.00
2017,5,16,32.22,14.44,0.00,0.00
2017,5,17,31.67,15.56,46.74,0.00
2017,5,18,23.89,11.67,5.84,0.00
2017,5,19,17.22,10.00,20.57,0.00
2017,5,20,12.22,8.33,61.21,0.00
2017,5,21,12.78,5.00,5.08,0.00
2017,5,22,19.44,6.11,0.00,0.00
2017,5,23,23.33,8.33,6.60,0.00
2017,5,24,15.00,7.22,1.02,0.00
2017,5,25,19.44,7.22,0.00,0.00
2017,5,26,24.44,9.44,0.00,0.00
2017,5,27,26.11,13.33,0.00,0.00
2017,5,28,23.33,10.56,0.00,0.00
2017,5,29,27.78,10.56,0.00,0.00
2017,5,30,23.89,8.89,0.00,0.00
2017,5,31,26.67,8.33,0.00,0.00
2017,6,1,23.89,8.89,0.00,0.00
2017,6,2,27.78,11.67,0.00,0.00
2017,6,3,31.11,16.67,0.00,0.00
2017,6,4,31.11,16.67,0.00,0.00
2017,6,5,32.22,16.11,0.00,0.00
2017,6,6,32.78,15.00,0.00,0.00
2017,6,7,28.89,16.11,0.00,0.00
2017,6,8,28.89,13.89,0.00,0.00
2017,6,9,30.00,14.44,0.00,0.00
2017,6,10,31.67,17.22,0.00,0.00
2017,6,11,32.78,20.56,0.00,0.00
2017,6,12,35.00,22.78,0.00,0.00
2017,6,13,28.33,20.56,3.56,0.00
2017,6,14,33.33,18.33,12.95,0.00
2017,6,15,30.00,15.56,1.78,0.00
2017,6,16,34.44,16.11,0.00,0.00
2017,6,17,32.78,18.33,22.10,0.00
2017,6,18,32.22,14.44,0.51,0.00
2017,6,19,26.67,15.00,0.00,0.00
2017,6,20,30.00,15.00,0.00,0.00
2017,6,21,33.89,17.78,0.00,0.00
2017,6,22,35.56,17.78,0.00,0.00
2017,6,23,32.78,15.56,0.00,0.00
2017,6,24,23.89,8.89,0.00,0.00
2017,6,25,27.22,8.89,0.00,0.00
