YEAR,MONTH,DAY,SRAD,TMAX,TMIN,RAIN,WIND,RH
2017,1,1,6,8.9,-8.1,0,1.6,0.73
2017,1,2,2.2,12.9,1,3.56,1.9,0.91
2017,1,3,10.7,2.7,-9.2,0,4.9,0.65
2017,1,4,8.4,-5.6,-12.9,0,2.7,0.64
2017,1,5,8.1,-9.1,-15.2,0,3,0.69
2017,1,6,11.7,-8.4,-19.2,0.25,1.3,0.68
2017,1,7,12.2,-3.6,-17.9,0,1.3,0.72
2017,1,8,10.6,5.8,-14.6,0,3.3,0.62
2017,1,9,8.4,10.2,-7.2,0,2.7,0.63
2017,1,10,11.5,13.6,0.1,0,4.2,0.61
2017,1,11,7.3,13.3,-7.2,0,4.7,0.6
2017,1,12,6.2,-3.4,-10.5,0,3.2,0.63
2017,1,13,4.1,-2.4,-8.2,0,2.9,0.58
2017,1,14,4.8,1,-3.1,0,1.4,0.54
2017,1,15,1.4,0.4,-1.6,6.86,1.8,0.87
2017,1,16,1.8,3.8,-0.2,12.7,2.5,0.97
2017,1,17,11.3,7.5,-2.4,0,2.2,0.81
2017,1,18,10.9,14.8,-4.2,0,1.4,0.74
2017,1,19,2.3,8.8,4.9,0.76,1.5,0.91
2017,1,20,2.5,10.7,4.3,0.25,1.4,0.96
2017,1,21,12.7,14.9,0.6,0.51,1.8,0.8
2017,1,22,10.6,7.6,-2.1,0,2.6,0.82
2017,1,23,13.4,12.1,-5.1,0,1.7,0.84
2017,1,24,11.8,17,0.2,0,4,0.77
2017,1,25,6.2,2.7,-2.7,0,5.7,0.7
2017,1,26,11.5,3.7,-5.3,0,3.5,0.66
2017,1,27,14.1,8.1,-4.5,0,4,0.59
2017,1,28,11.7,9.2,-1.7,0,4.2,0.62
2017,1,29,12.7,13.5,0.3,0,3.2,0.64
2017,1,30,13.7,18.4,-2.1,0,2.5,0.57
2017,1,31,10.4,10.8,-5.3,0,1.4,0.65
2017,2,1,7.6,4.2,-4.2,0,4.5,0.62
2017,2,2,12.1,0.3,-8.6,0,2.3,0.53
2017,2,3,14,2,-5.2,0,1.9,0.56
2017,2,4,14.9,13.3,-4.6,0,4.3,0.53
2017,2,5,14,10.3,-2.8,0,1.8,0.66
2017,2,6,5.7,17.2,-3.2,0,1.5,0.8
2017,2,7,7.4,6.2,-3.2,0,3.5,0.82
2017,2,8,10.6,-1,-8.7,0,3.9,0.64
2017,2,9,14.5,5.4,-9.1,0,2.1,0.52
2017,2,10,14.4,22.7,1.5,0,4,0.43
2017,2,11,9.6,19.3,7,0,2.1,0.7
2017,2,12,14,11.5,-2.8,0,3.9,0.48
2017,2,13,5.4,10.1,-3.3,0,1.1,0.62
2017,2,14,15,13.4,-0.9,0,2.5,0.6
