YEAR,MONTH,DAY,SRAD,TMAX,TMIN,TMEAN,RAIN,WIND,RH
2017,1,1,3.2,17,14.4,15.6,1.52,1.6,0.975
2017,1,2,8.8,21.7,13.1,16.8,16,2.2,0.79
2017,1,3,9.2,19.9,4.2,12.1,0,4.5,0.695
2017,1,4,3.6,5.4,1.5,3.8,0,3.4,0.785
2017,1,5,1.8,6.2,0.1,4.6,0,3.8,0.845
2017,1,6,2.6,-0.2,-7.3,-2.6,0,7.1,0.745
2017,1,7,13.8,3.8,-10.3,-4.1,0,2.5,0.6
2017,1,8,13.4,9.3,-7.4,0.6,0,1.1,0.58
2017,1,9,6.3,15.8,0.5,9.3,0,2.6,0.78
2017,1,10,7.8,24.3,14.3,19.4,0,5.2,0.765
2017,1,11,5.8,25,18.2,21,0,4.7,0.76
2017,1,12,7.8,25.6,17.6,21.2,0,2.7,0.81
2017,1,13,5.1,23.9,17.8,19.5,2.79,1.4,0.865
2017,1,14,6.9,21.2,15.5,17.6,1.78,1.2,0.91
2017,1,15,2.7,19.1,14.1,16.8,0.51,2.2,0.96
2017,1,16,2.8,20.4,13.2,17.1,38.86,2.2,0.95
2017,1,17,2,13,9.4,10.6,6.1,2.5,0.9
2017,1,18,1.4,15.1,9.1,11.3,73.91,2.4,0.995
2017,1,19,2.8,14.9,11.5,12.7,0.25,2,0.95
2017,1,20,11.8,23.4,12.6,16.8,0,3,0.74
2017,1,21,4.7,20.7,10.3,15.8,0,2.2,0.815
2017,1,22,7.3,16.6,10.8,13.9,0,6,0.65
2017,1,23,13.4,19.4,5.9,11.5,0,2.3,0.53
2017,1,24,12.8,26.3,9.6,17.5,0,3,0.67
2017,1,25,10.2,20.1,7,14.5,0,4.2,0.635
2017,1,26,14.5,12,0.3,5.2,0,2.5,0.61
2017,1,27,11.7,12.3,-1.6,5.6,0,1.9,0.555
2017,1,28,15,13.7,3.1,7.6,0,2.8,0.505
2017,1,29,15.1,17.4,5.4,10.6,0,3.6,0.51
2017,1,30,14.7,24.3,7.2,14.6,0,2.4,0.5
2017,1,31,14.7,24.5,8.3,15.7,0,2.4,0.495
2017,2,1,11.2,24.7,12.1,17.3,0,2.8,0.795
2017,2,2,3.1,17.6,6.4,11.2,0,3.5,0.855
2017,2,3,14,11.9,4.5,7.5,0,3.7,0.685
2017,2,4,4.4,10.6,4.2,7.4,0,2.1,0.69
2017,2,5,3.4,19.3,8.9,13.4,1.78,0.4,0.965
2017,2,6,4.6,23.3,18.1,20.3,0,2.3,0.89
2017,2,7,13.3,26.3,13.3,21.1,0,4.5,0.6
2017,2,8,12.4,25.5,9.4,16.6,0,4.3,0.66
2017,2,9,16.3,16.4,2.3,8.8,0,3,0.575
2017,2,10,10.9,21.9,5.4,14.2,0,2.5,0.78
2017,2,11,11.1,28.9,19.4,17.7,0,4.4,0.745
2017,2,12,4.1,23.6,18.4,20.7,0,3.6,0.745
2017,2,13,8,18.1,12.2,15.7,0,3.3,0.62
2017,2,14,2.3,13.3,7.3,10.3,24.13,3.8,0.83
2017,2,15,17.1,15.9,4.1,9.5,0,3.7,0.635
2017,2,16,17.2,18.8,-0.1,9.2,0,1,0.625
2017,2,17,7.7,19,6.1,12.3,0,1.3,0.75
2017,2,18,10.2,24.8,12.7,18.3,0,1.8,0.795
2017,2,19,8.1,24.7,16.3,20.7,0,2.2,0.855
2017,2,20,2.4,21,13,15.8,52.07,1.6,0.95
2017,2,21,12.7,21.8,12.7,16.2,0.25,2.4,0.785
2017,2,22,17.1,26.6,9.6,17.5,0,0.6,0.74
2017,2,23,17.2,28.7,12.9,20.5,0,2.9,0.68
2017,2,24,14.9,20.2,10.3,16.4,0,4.5,0.725
2017,2,25,19.3,14.1,2.5,7.6,0,2.7,0.6
2017,2,26,9.7,19,2,14.1,0,1.7,0.71
2017,2,27,10.6,27.2,17.1,21.5,0.25,1.7,0.775
2017,2,28,10.2,27.2,20.6,23.2,0,3.7,0.805
2017,3,1,16.9,22,6.7,17.4,0,5.4,0.605
2017,3,2,18.6,17.8,1.7,9.9,0,1.9,0.54
2017,3,3,NA,NA,NA,NA,NA,NA,NA
2017,3,4,NA,NA,NA,NA,NA,NA,NA
2017,3,5,NA,NA,NA,NA,NA,NA,NA
2017,3,6,NA,NA,NA,NA,NA,NA,NA
2017,3,7,NA,NA,NA,NA,NA,NA,NA
2017,3,8,NA,NA,NA,NA,NA,NA,NA
2017,3,9,NA,NA,NA,NA,NA,NA,NA
2017,3,10,NA,NA,NA,NA,NA,NA,NA
2017,3,11,11.3,19.1,5.2,13.4,4.32,4.2,0.77
2017,3,12,9.2,10.8,4.1,6.3,5.84,3.2,0.82
2017,3,13,8.6,15.7,4.4,9.4,0.51,3.4,0.74
2017,3,14,21.5,16.7,-0.4,8.3,0,1.4,0.645
2017,3,15,20.3,15.7,6.1,10.1,0,2.4,0.695
2017,3,16,10.8,20.7,7.8,14.2,0,2.3,0.795
2017,3,17,11.1,25.4,17.8,20.6,0,2.8,0.73
2017,3,18,10.7,25.1,16.3,19.7,0,1.7,0.825
2017,3,19,19.4,28.4,15.9,21.2,0,1.5,0.75
2017,3,20,21.1,29.5,18,23,0,3.4,0.655
2017,3,21,22.6,28.5,14.4,20.8,0,2.6,0.655
2017,3,22,14.2,25.4,14.2,19.7,0,0.9,0.775
2017,3,23,21.6,29.4,16.9,22.2,0,2.7,0.625
2017,3,24,9.1,25.7,17.5,19.9,29.46,3.2,0.76
2017,3,25,23.3,21.9,10.8,16.8,0,2.9,0.725
2017,3,26,20,28.3,8,19.1,0,1.6,0.735
2017,3,27,11,26.3,17.3,21.2,0,2,0.815
2017,3,28,13.3,28.3,17.4,22.5,0,1.3,0.75
2017,3,29,14.9,26.3,15.2,20.3,20.32,2,0.82
2017,3,30,24.3,22.1,9.7,15.8,0,2.8,0.635
2017,3,31,23.9,28.7,8.6,19.1,0,0.9,0.645
2017,4,1,20.3,28.4,11.7,20.4,0,1.3,0.68
