YEAR,MONTH,DAY,SRAD,TMAX,TMIN,RAIN,WIND,RH,,
2017,1,1,11.22,22.02,9.28,0.00,1.48,0.67,,
2017,1,2,13.60,22.83,12.15,13.72,1.59,0.65,,
2017,1,3,12.82,21.24,4.38,0.00,2.43,0.49,,
2017,1,4,5.34,5.18,0.63,0.00,2.19,0.64,,
2017,1,5,11.14,12.02,-0.85,0.00,3.01,0.70,,
2017,1,6,3.42,-0.58,-6.76,0.00,5.46,0.62,,
2017,1,7,14.77,3.76,-8.90,0.00,2.05,0.52,,
2017,1,8,14.40,9.66,-4.60,0.00,2.39,0.44,,
2017,1,9,10.31,20.44,2.18,0.00,4.00,0.69,,
2017,1,10,12.38,25.24,14.56,0.00,3.97,0.62,,
2017,1,11,8.51,25.11,15.16,0.00,6.78,0.70,,
2017,1,12,6.22,25.51,18.23,0.00,4.09,0.71,,
2017,1,13,6.21,20.90,7.53,0.00,2.77,0.78,,
2017,1,14,3.66,9.48,5.18,0.29,2.22,0.93,,
2017,1,15,2.89,20.72,8.06,1.47,3.41,0.89,,
2017,1,16,7.37,20.70,13.48,1.47,0.95,0.67,,
2017,1,17,1.77,13.75,7.39,39.78,3.82,0.82,,
2017,1,18,2.54,10.75,7.46,26.98,1.88,0.93,,
2017,1,19,10.96,17.76,10.00,0.00,2.44,0.83,,
2017,1,20,13.87,24.44,8.13,0.00,1.00,0.58,,
2017,1,21,9.28,24.51,9.48,0.00,1.51,0.63,,
2017,1,22,14.46,19.16,9.88,0.00,4.44,0.42,,
2017,1,23,15.34,20.76,5.80,0.00,1.60,0.50,,
2017,1,24,13.82,25.98,8.60,0.00,4.80,0.61,,
2017,1,25,11.10,19.64,7.39,0.00,3.06,0.59,,
2017,1,26,15.92,12.33,1.64,0.00,2.50,0.46,,
2017,1,27,11.46,12.34,2.31,0.00,2.77,0.43,,
2017,1,28,15.60,15.07,5.06,0.00,1.58,0.44,,
2017,1,29,16.32,19.42,2.78,0.00,1.29,0.41,,
2017,1,30,16.62,24.70,7.20,0.00,1.41,0.33,,
2017,1,31,16.69,24.84,5.66,0.00,2.33,0.44,,
2017,2,1,15.03,25.98,10.28,0.00,3.17,0.65,,
2017,2,2,16.06,13.62,5.12,0.00,3.43,0.54,,
2017,2,3,5.13,10.62,4.86,0.00,3.57,0.59,,
2017,2,4,3.56,10.07,7.86,0.00,1.80,0.77,,
2017,2,5,9.87,23.78,9.75,0.00,2.45,0.79,,
2017,2,6,4.47,24.72,17.96,0.00,4.00,0.78,,
2017,2,7,15.30,29.17,16.35,0.00,1.72,0.55,,
2017,2,8,16.78,27.17,10.54,0.00,2.80,0.40,,
2017,2,9,16.85,17.35,3.58,0.00,3.19,0.42,,
2017,2,10,9.53,24.25,7.07,0.00,3.33,0.70,,
2017,2,11,14.50,28.70,18.10,0.00,4.46,0.68,,
2017,2,12,5.75,22.72,18.03,0.00,3.72,0.65,,
2017,2,13,6.66,23.57,15.22,0.00,4.30,0.58,,
2017,2,14,5.00,19.03,6.72,28.45,4.03,0.83,,
2017,2,15,18.77,15.68,4.99,0.00,2.95,0.55,,
2017,2,16,18.38,19.28,2.97,0.00,1.92,0.56,,
2017,2,17,15.64,22.97,7.26,0.00,3.68,0.66,, 
2017,2,18,17.35,29.04,14.82,0.00,3.30,0.57,,
2017,2,19,6.23,26.25,18.30,0.00,4.31,0.75,,
2017,2,20,6.08,21.04,12.96,31.00,1.94,0.85,,
2017,2,21,19.65,24.30,10.20,0.27,1.76,0.59,,
2017,2,22,19.89,27.03,9.61,0.00,1.54,0.50,,
2017,2,23,19.86,29.51,11.28,0.00,4.10,0.55,,
2017,2,24,20.09,20.56,10.14,0.00,2.94,0.60,,
2017,2,25,20.17,13.41,3.37,0.00,3.65,0.45,,
2017,2,26,5.62,19.04,4.86,0.00,1.28,0.70,,
2017,2,27,10.95,26.24,17.09,0.00,2.34,0.76,,
2017,2,28,5.68,25.72,18.96,0.00,3.36,0.78,,
