MONTH,DAY,YEAR,DOY,TMAX,TMIN,TMEAN,RAIN
1,1,2016,1,-2.78,-6.61,-4.7,0
1,2,2016,2,-1.67,-6.89,-4.28,0
1,3,2016,3,-5.56,-8.11,-6.84,0
1,4,2016,4,-7.78,-12.06,-9.92,0
1,5,2016,5,-2.78,-6.61,-4.7,0
1,6,2016,6,0,-2.33,-1.17,0
1,7,2016,7,0,-0.5,-0.25,0
1,8,2016,8,-0.56,-6.22,-3.39,0
1,9,2016,9,-16.11,-19.33,-17.72,0
1,10,2016,10,-15,-21.89,-18.45,0
1,11,2016,11,-5.56,-14.61,-10.09,0
1,12,2016,12,-14.44,-18.33,-16.39,0
1,13,2016,13,0.56,-8.17,-3.81,0
1,14,2016,14,1.67,-4.94,-1.64,0
1,15,2016,15,-8.33,-12.33,-10.33,0
1,16,2016,16,-15.56,-19.56,-17.56,0
1,17,2016,17,-19.44,-23.44,-21.44,0
1,18,2016,18,-13.33,-16.67,-15,0
1,19,2016,19,-9.44,-13.33,-11.39,0
1,20,2016,20,-3.89,-6.22,-5.06,0
1,21,2016,21,-5,-6.78,-5.89,0
1,22,2016,22,-10.56,-12.94,-11.75,0
1,23,2016,23,-3.89,-7.11,-5.5,0
1,24,2016,24,-0.56,-5.22,-2.89,0
1,25,2016,25,-3.89,-4.89,-4.39,0
1,26,2016,26,-3.33,-4.83,-4.08,0
1,27,2016,27,3.89,-1.89,1,0
1,28,2016,28,1.67,0.11,0.89,0
1,29,2016,29,3.33,-0.17,1.58,0
1,30,2016,30,3.33,0.17,1.75,0
1,31,2016,31,2.78,0.17,1.48,0
2,1,2016,32,0.56,-3.78,-1.61,0
2,2,2016,33,-4.44,-5,-4.72,0
2,3,2016,34,-4.44,-7.89,-6.17,0
2,4,2016,35,-5,-7,-6,0
2,5,2016,36,-2.22,-6.89,-4.56,0
2,6,2016,37,3.33,-2.61,0.36,0
2,7,2016,38,2.78,-1.22,0.78,0
2,8,2016,39,-6.11,-8.39,-7.25,0
2,9,2016,40,-6.11,-10.72,-8.42,0
2,10,2016,41,-8.89,-11.17,-10.03,0
2,11,2016,42,-8.33,-10.5,-9.42,0
2,12,2016,43,-8.89,-14.5,-11.7,0
2,13,2016,44,-11.67,-16.33,-14,0
2,14,2016,45,-5,-8.89,-6.95,0
2,15,2016,46,1.11,-2.5,-0.7,0
2,16,2016,47,0.56,-2.28,-0.86,0
2,17,2016,48,-0.56,-2.39,-1.48,0
2,18,2016,49,3.33,0.94,2.14,0
2,19,2016,50,10.56,5.83,8.2,0
2,20,2016,51,5,1.5,3.25,0
2,21,2016,52,0.56,-1.06,-0.25,0
2,22,2016,53,0.56,-1.17,-0.31,0
2,23,2016,54,2.22,-0.33,0.95,0
2,24,2016,55,1.67,-1.72,-0.03,0
2,25,2016,56,-0.56,-2.11,-1.34,0
2,26,2016,57,7.22,0.44,3.83,0
2,27,2016,58,16.11,6.78,11.45,0
2,28,2016,59,3.89,1,2.45,0
2,29,2016,60,3.89,-5.83,-0.97,0
3,1,2016,61,-9.44,-12.17,-10.81,0
3,2,2016,62,-2.22,-8.11,-5.17,0
3,3,2016,63,0,-2.78,-1.39,0
3,4,2016,64,7.22,0.5,3.86,0
3,5,2016,65,5,1.28,3.14,0
3,6,2016,66,17.78,8.56,13.17,0
3,7,2016,67,18.33,10.83,14.58,0
3,8,2016,68,12.22,6.06,9.14,0
3,9,2016,69,3.89,1.33,2.61,0
3,10,2016,70,12.78,3.61,8.2,0
3,11,2016,71,22.78,11.06,16.92,0
3,12,2016,72,18.89,11.67,15.28,0
3,13,2016,73,14.44,10.78,12.61,0
3,14,2016,74,17.22,12,14.61,0
3,15,2016,75,12.78,8.5,10.64,0
3,16,2016,76,10.56,3.83,7.2,0
3,17,2016,77,2.78,0.06,1.42,0
3,18,2016,78,1.67,-1.94,-0.14,0
3,19,2016,79,2.22,-1.44,0.39,0
3,20,2016,80,4.44,-0.5,1.97,0
3,21,2016,81,16.11,4.83,10.47,0
3,22,2016,82,11.67,6,8.84,0
3,23,2016,83,3.33,-0.72,1.31,0
3,24,2016,84,8.33,0.67,4.5,0
3,25,2016,85,7.78,2.17,4.98,0
3,26,2016,86,1.67,-0.5,0.59,0
3,27,2016,87,9.44,0.67,5.06,0
3,28,2016,88,15,5.28,10.14,0
3,29,2016,89,13.33,7.78,10.56,0
3,30,2016,90,8.33,7,7.67,0
3,31,2016,91,8.33,4.61,6.47,0
4,1,2016,92,3.33,0.11,1.72,0
4,2,2016,93,7.22,2.33,4.78,0
4,3,2016,94,21.67,11.11,16.39,0
4,4,2016,95,8.89,1.39,5.14,0
4,5,2016,96,16.11,7.78,11.95,0
4,6,2016,97,8.89,3.5,6.2,0
4,7,2016,98,6.11,2.89,4.5,0
4,8,2016,99,2.78,-0.61,1.09,0
4,9,2016,100,10,0.94,5.47,0
4,10,2016,101,13.89,6.44,10.17,0
4,11,2016,102,5.56,0.06,2.81,0
4,12,2016,103,19.44,6.61,13.03,0
4,13,2016,104,22.78,12.89,17.84,0
4,14,2016,105,25,16.89,20.95,0
4,15,2016,106,22.22,15.78,19,0
4,16,2016,107,22.22,16.17,19.2,0
4,17,2016,108,22.22,15.17,18.7,0
4,18,2016,109,15.56,11.44,13.5,16.76
4,19,2016,110,13.33,8.11,10.72,0.25
4,20,2016,111,12.78,10.33,11.56,0.25
4,21,2016,112,17.78,11.5,14.64,0
4,22,2016,113,16.67,8.39,12.53,0
4,23,2016,114,23.89,15.11,19.5,0
4,24,2016,115,23.89,17.39,20.64,0
4,25,2016,116,14.44,11.11,12.78,0
4,26,2016,117,8.89,7.11,8,0
4,27,2016,118,6.11,4.17,5.14,16.76
4,28,2016,119,3.89,2.44,3.17,11.68
4,29,2016,120,9.44,5.61,7.53,0
4,30,2016,121,9.44,6.11,7.78,0
5,1,2016,122,14.44,8,11.22,0
5,2,2016,123,17.22,9.94,13.58,0
5,3,2016,124,23.33,12.5,17.92,0
5,4,2016,125,20,12.44,16.22,0
5,5,2016,126,27.22,16.28,21.75,0
5,6,2016,127,31.11,20.5,25.81,0
5,7,2016,128,18.89,14.22,16.56,0
5,8,2016,129,21.67,14.22,17.95,0
5,9,2016,130,18.89,14.06,16.48,3.56
5,10,2016,131,20.56,15.5,18.03,1.52
5,11,2016,132,17.22,13.33,15.28,7.11
5,12,2016,133,14.44,10.17,12.31,0
5,13,2016,134,7.78,4.72,6.25,2.54
5,14,2016,135,12.22,5.61,8.92,0
5,15,2016,136,17.78,10.56,14.17,0
5,16,2016,137,19.44,12.83,16.14,1.52
5,17,2016,138,18.89,11.72,15.31,0
5,18,2016,139,20.56,13.11,16.84,0
5,19,2016,140,21.67,15.78,18.73,0
5,20,2016,141,19.44,14.72,17.08,0
5,21,2016,142,23.33,16.39,19.86,0
5,22,2016,143,28.33,19.67,24,0
5,23,2016,144,22.78,18.72,20.75,7.11
5,24,2016,145,28.89,20.61,24.75,0
5,25,2016,146,23.89,19.39,21.64,3.56
5,26,2016,147,24.44,18.28,21.36,0
5,27,2016,148,21.67,17.28,19.48,0
5,28,2016,149,17.22,15.72,16.47,25.91
5,29,2016,150,23.89,18.61,21.25,0
5,30,2016,151,27.22,20.39,23.81,0
5,31,2016,152,21.11,17.11,19.11,7.37
6,1,2016,153,18.33,14.06,16.2,0
6,2,2016,154,24.44,16.67,20.56,0
6,3,2016,155,23.89,17.83,20.86,15.24
6,4,2016,156,21.67,16.33,19,0
6,5,2016,157,26.67,19.22,22.95,0
6,6,2016,158,20,16.17,18.09,0
6,7,2016,159,22.22,16.06,19.14,0
6,8,2016,160,29.44,20.67,25.06,0
6,9,2016,161,33.89,26.78,30.34,0
6,10,2016,162,32.78,27.11,29.95,0.25
6,11,2016,163,33.89,27.33,30.61,0
6,12,2016,164,33.89,27.72,30.81,0
6,13,2016,165,26.67,22.44,24.56,0
6,14,2016,166,25.56,21.28,23.42,2.54
6,15,2016,167,26.67,20.22,23.45,0
6,16,2016,168,30,22.39,26.2,0
6,17,2016,169,33.89,25,29.45,62.74
6,18,2016,170,27.78,23.11,25.45,0
6,19,2016,171,31.67,26.22,28.95,0.25
6,20,2016,172,25.56,21.11,23.34,0
6,21,2016,173,27.78,20.78,24.28,0
6,22,2016,174,27.78,22.17,24.98,2.29
6,23,2016,175,24.44,18.83,21.64,0
6,24,2016,176,29.44,22.56,26,0
6,25,2016,177,29.44,25.06,27.25,0.25
6,26,2016,178,28.89,22.22,25.56,0
6,27,2016,179,25,19.83,22.42,0
6,28,2016,180,25,18.5,21.75,0
6,29,2016,181,27.22,21.28,24.25,0
6,30,2016,182,24.44,19.94,22.19,0
7,1,2016,183,22.22,15.83,19.03,0
7,2,2016,184,24.44,18.83,21.64,0
7,3,2016,185,24.44,18.61,21.53,0
7,4,2016,186,28.89,21.33,25.11,0
7,5,2016,187,31.67,23,27.34,3.3
7,6,2016,188,28.33,21.61,24.97,9.91
7,7,2016,189,22.78,18.94,20.86,0.76
7,8,2016,190,25.56,20.11,22.84,0
7,9,2016,191,27.78,21.94,24.86,0
7,10,2016,192,26.11,21.78,23.95,76.2
7,11,2016,193,30,23.94,26.97,0
7,12,2016,194,27.78,21.72,24.75,0
7,13,2016,195,27.22,21.94,24.58,0
7,14,2016,196,21.67,17.67,19.67,0
7,15,2016,197,24.44,17.17,20.81,0
7,16,2016,198,25.56,19.56,22.56,8.38
7,17,2016,199,25.56,21.06,23.31,16.26
7,18,2016,200,28.33,22.06,25.2,0
7,19,2016,201,27.78,24.28,26.03,2.03
7,20,2016,202,32.22,27.11,29.67,0
7,21,2016,203,32.22,27.89,30.06,0
7,22,2016,204,31.67,26.83,29.25,0
7,23,2016,205,31.67,25.83,28.75,19.3
7,24,2016,206,25.56,22.11,23.84,0
7,25,2016,207,28.89,22.78,25.84,0
7,26,2016,208,29.44,23.22,26.33,1.52
7,27,2016,209,26.11,21.89,24,0
7,28,2016,210,23.89,19.17,21.53,0
7,29,2016,211,25,19.11,22.06,0
7,30,2016,212,25.56,19.67,22.62,0
7,31,2016,213,28.33,22.17,25.25,0
8,1,2016,214,26.11,22.44,24.28,1.78
8,2,2016,215,30,24.56,27.28,0
