MONTH,DAY,YEAR,DOY,TMAX,TMIN,TMEAN,RAIN
1,1,2016,1,-2.4,-4.9,-3.6,0
1,2,2016,2,1,-2.8,-1.2,0
1,3,2016,3,0.7,-3.6,-0.8,0
1,4,2016,4,-3.4,-11.2,-5.8,0
1,5,2016,5,-1.5,-11.7,-7.2,0
1,6,2016,6,1.9,-6.8,-2.8,0
1,7,2016,7,5.5,-2.5,1.7,0
1,8,2016,8,5.3,0.4,2.2,4
1,9,2016,9,5.8,1.9,4.5,13
1,10,2016,10,2,-10.1,-4,5
1,11,2016,11,-8.1,-14,-11.4,2
1,12,2016,12,-4.8,-10.3,-8.4,2
1,13,2016,13,-7.5,-12.4,-10.9,1
1,14,2016,14,4.2,-7.6,-1.6,0
1,15,2016,15,5.5,-0.3,3.6,2
1,16,2016,16,-0.2,-4,-2.1,0
1,17,2016,17,-4,-14.1,-10.8,0
1,18,2016,18,-10,-13.4,-12.1,1
1,19,2016,19,-4.9,-15.5,-10.9,0
1,20,2016,20,-2.1,-13.3,-9.3,1
1,21,2016,21,-3.3,-7.3,-5.3,0
1,22,2016,22,-1.4,-8,-4.5,0
1,23,2016,23,6,-9.3,-5.4,0
1,24,2016,24,-0.7,-10.1,-4.4,0
1,25,2016,25,4.4,-4.7,-0.1,1
1,26,2016,26,5.5,-2.9,0.8,2
1,27,2016,27,-2,-4.8,-2.8,0
1,28,2016,28,0.9,-2.9,-0.6,2
1,29,2016,29,0.2,-6,-3.3,0
1,30,2016,30,8.4,-0.9,2.8,0
1,31,2016,31,9,2.2,5.6,2
2,1,2016,32,6.6,-3.5,2.1,0
2,2,2016,33,3.4,-3.6,0.3,11
2,3,2016,34,4.2,-0.5,2.4,3
2,4,2016,35,-0.4,-9,-2.8,2
2,5,2016,36,2.6,-8.4,-3.8,0
2,6,2016,37,2.4,-7.4,-2,0
2,7,2016,38,7.2,-1.1,3.2,0
2,8,2016,39,3.2,-3.2,0.2,2
2,9,2016,40,-0.8,-6.2,-3.3,1
2,10,2016,41,-5.4,-12.5,-8.1,0
2,11,2016,42,-4.8,-13.5,-9.6,0
2,12,2016,43,-6.3,-14.2,-9.6,2
2,13,2016,44,-9.3,-19.6,-13.3,0
2,14,2016,45,-8.1,-21.9,-12.9,0
2,15,2016,46,-3.7,-9.5,-6.6,1
2,16,2016,47,-0.7,-3.8,-2.4,1
2,17,2016,48,-0.2,-11.8,-2.7,0
2,18,2016,49,2.2,-16.2,-5.8,0
2,19,2016,50,15.8,1.8,7.8,0
2,20,2016,51,12.4,2.9,8,0
2,21,2016,52,6.2,-0.8,2.8,0
2,22,2016,53,4.6,-2.1,1,0
2,23,2016,54,7.3,-4.1,1.2,0
2,24,2016,55,0.5,-1.9,-0.5,9
2,25,2016,56,0.7,-4,-1.5,7
2,26,2016,57,4,-5.7,-2.4,0
2,27,2016,58,7.8,-4,1.3,0
2,28,2016,59,14.1,0.3,8.5,3
2,29,2016,60,7.2,-4.8,1.3,0
3,1,2016,61,-4.2,-8.3,-5.8,24
3,2,2016,62,-1.8,-12.1,-6.2,0
3,3,2016,63,-1.8,-11.4,-6.4,2
3,4,2016,64,7,-13.8,-3.9,0
3,5,2016,65,1.9,-4.1,-1.4,3
3,6,2016,66,5.8,-8,-0.2,0
3,7,2016,67,15,4.5,9.1,0
3,8,2016,68,21.1,10.4,15,0
3,9,2016,69,19.5,13.4,15.8,3
3,10,2016,70,13.6,2.3,9.1,0
3,11,2016,71,17.5,-0.5,6.6,0
3,12,2016,72,15.1,0.4,8.1,0
3,13,2016,73,11.1,5.9,8.4,13
3,14,2016,74,10.4,5.8,8.8,2
3,15,2016,75,18,1,8.5,0
3,16,2016,76,12.9,7.8,10.4,3
3,17,2016,77,10.2,-0.3,7.5,0
3,18,2016,78,9.2,-3.1,2.4,0
3,19,2016,79,6.1,-1.5,1.2,0
3,20,2016,80,6.5,-5.3,0.2,0
3,21,2016,81,7.2,-3.4,1.4,0
3,22,2016,82,16.6,-0.2,7.5,0
3,23,2016,83,9.4,1.4,4.6,1
3,24,2016,84,9.7,-0.9,3.6,13
3,25,2016,85,10.1,-3,1.1,0
3,26,2016,86,12.6,-3.4,4.2,0
3,27,2016,87,20.2,1,9.4,5
3,28,2016,88,7.2,-0.1,4.7,5
3,29,2016,89,13.2,-2.7,4.8,0
3,30,2016,90,16.2,2.2,8.6,1
3,31,2016,91,16.5,4.7,13.6,32
4,1,2016,92,9.6,1.5,5.4,2
4,2,2016,93,2.8,-3.6,0.4,4
4,3,2016,94,14.7,-5.2,2.6,0
4,4,2016,95,2.5,-3.7,0,1
4,5,2016,96,5.8,-7.8,-0.6,0
4,6,2016,97,8.3,1.5,4.6,16
4,7,2016,98,4,-1.3,2,1
4,8,2016,99,4.1,-3.2,-0.1,7
4,9,2016,100,2.3,-6.4,-2.5,2
4,10,2016,101,7.7,-2.4,0.4,12
4,11,2016,102,10.1,1,7.2,3
4,12,2016,103,8.8,-1.5,3.2,0
4,13,2016,104,13.3,-2.4,5.3,0
4,14,2016,105,17.4,0.4,8.6,0
4,15,2016,106,22,2.3,12.1,0
4,16,2016,107,26.3,6.5,16.4,0
4,17,2016,108,28.6,6.4,17.5,0
4,18,2016,109,27.9,7.4,18,0
4,19,2016,110,16.5,8.8,12.1,0
4,20,2016,111,19.8,9.5,14.5,0
4,21,2016,112,16.9,8.9,12.3,7
4,22,2016,113,14.7,8.6,11.6,0
4,23,2016,114,17.1,2.8,9.7,0
4,24,2016,115,23.4,4.2,12.9,0
4,25,2016,116,25.4,10,18.2,3
4,26,2016,117,16,4.1,10.2,1
4,27,2016,118,15.3,2.6,8.8,0
4,28,2016,119,10.9,2.3,6.7,3
4,29,2016,120,11.4,5.4,7.4,0
4,30,2016,121,11.5,5.5,8.4,11
5,1,2016,122,10.1,6.1,8.4,0
5,2,2016,123,12.3,5.5,8.4,10
5,3,2016,124,18.6,2.8,11.5,0
5,4,2016,125,13.3,4.9,8.4,26
5,5,2016,126,18.9,6.6,11.4,3
5,6,2016,127,23.6,3.6,13.9,0
5,7,2016,128,22.2,9.4,16.7,0
5,8,2016,129,18.8,4.6,12.8,0
5,9,2016,130,15.6,3.6,10.7,0
5,10,2016,131,12.2,8.6,10.3,9
5,11,2016,132,21.3,9.6,14.5,1
5,12,2016,133,21.1,12.9,16.4,9
5,13,2016,134,17.1,9.4,13,3
5,14,2016,135,10.3,4.1,6.4,13
5,15,2016,136,8.9,1.6,5.2,0
5,16,2016,137,20,3.2,11.5,0
5,17,2016,138,17.7,8.6,13.4,0
5,18,2016,139,19.7,6.3,12.5,0
5,19,2016,140,24.5,2.7,13.4,0
5,20,2016,141,20.8,7.4,14.9,0
5,21,2016,142,22.7,9.6,16.9,0
5,22,2016,143,22.7,8.6,16.4,0
5,23,2016,144,26,12.6,16.3,0
5,24,2016,145,28.5,7.9,19.3,0
5,25,2016,146,29,15.5,22.6,0
5,26,2016,147,28.8,16.4,22,22
5,27,2016,148,27.1,15.9,22,0
5,28,2016,149,28.7,18.7,23.6,0
5,29,2016,150,27.7,16.1,22.7,0
5,30,2016,151,27,13.6,21.4,0
5,31,2016,152,27.6,11.5,20.7,0
6,1,2016,153,25,15.3,20.4,1
6,2,2016,154,24.4,12.8,19.8,0
6,3,2016,155,29.4,10,18.8,0
6,4,2016,156,26.5,13.7,19.2,3
6,5,2016,157,22,15,18.4,3
6,6,2016,158,25.8,13.2,18.6,0
6,7,2016,159,16.7,9.3,13.4,0
6,8,2016,160,19.1,6.3,13.2,1
6,9,2016,161,24.2,4.4,14.6,0
6,10,2016,162,31.7,13.4,22.1,0
6,11,2016,163,30.4,20.2,25.8,0
6,12,2016,164,25.5,11,20.3,0
6,13,2016,165,25.9,9.9,17.7,0
6,14,2016,166,26.1,15.3,20.5,2
6,15,2016,167,29.6,16.1,22.9,11
6,16,2016,168,21.1,15.7,18.4,22
6,17,2016,169,29.9,14.9,22.1,0
6,18,2016,170,33.8,13,22.9,0
6,19,2016,171,30.6,15.1,23.6,0
6,20,2016,172,30.1,17.9,25.3,0
6,21,2016,173,25.1,13.9,20.4,0
6,22,2016,174,27.5,13.7,21.2,2
6,23,2016,175,26.3,17.7,21.1,0
6,24,2016,176,30.4,15,22.3,0
6,25,2016,177,29.3,12.8,21.9,0
6,26,2016,178,29,20.5,23.9,1
6,27,2016,179,29.9,17.9,24,0
6,28,2016,180,21.5,12.6,17.3,0
6,29,2016,181,26,7.8,17.3,0
6,30,2016,182,26.9,8.1,18.6,0
7,1,2016,183,22.6,11,18.5,4
7,2,2016,184,25.6,9.4,17.2,0
7,3,2016,185,25.5,8.8,18.2,0
7,4,2016,186,26.3,11.7,19.8,0
7,5,2016,187,28.6,18.8,23.3,0
7,6,2016,188,31,18.7,23.8,0
7,7,2016,189,30.3,17,24,3
7,8,2016,190,30.9,19,24.1,1
7,9,2016,191,26.4,16.9,20.9,0
7,10,2016,192,29.2,12.3,21.1,0
7,11,2016,193,30.8,15.8,23.2,7
7,12,2016,194,32.8,21.7,25,5
7,13,2016,195,30.6,20.4,23.8,16
7,14,2016,196,29.6,20.1,24.5,0
7,15,2016,197,24.5,16.4,20.3,2
7,16,2016,198,26.7,13.6,19,0
7,17,2016,199,30.1,10.9,20.4,0
7,18,2016,200,29.1,17.7,24.5,15
7,19,2016,201,30.9,15.2,23,0
7,20,2016,202,32,16.5,24.1,0
7,21,2016,203,30.9,19.7,23.8,7
7,22,2016,204,30.9,20,26.6,0
7,23,2016,205,33.5,16.9,25.6,0
7,24,2016,206,30.9,20,24.4,28
7,25,2016,207,30,19.6,26,0
7,26,2016,208,30.4,15.6,23.5,0
7,27,2016,209,30.9,16.4,23.4,0
7,28,2016,210,30.1,17.6,22.5,5
7,29,2016,211,25.8,18.3,21,3
7,30,2016,212,22.4,16.6,19.1,19
7,31,2016,213,26.8,18.2,21.1,0
8,1,2016,214,28.7,15.3,22,0
8,2,2016,215,30.8,14.8,22.8,0
8,3,2016,216,32,15.7,23.9,0
8,4,2016,217,32.2,16.8,24.7,0
8,5,2016,218,29.2,18.5,24.8,0
8,6,2016,219,28.2,15.3,21.9,0
8,7,2016,220,27.7,14.2,20.8,0
8,8,2016,221,29.7,12.9,21.1,0
8,9,2016,222,30.6,12.9,21.8,0
8,10,2016,223,33.3,16.4,24.6,0
8,11,2016,224,32.7,21.3,26.7,0
8,12,2016,225,32.6,22.7,26.6,8
8,13,2016,226,28.6,20.4,24,50
8,14,2016,227,27.8,17.9,23.2,0
8,15,2016,228,26.4,16.3,20.7,42
8,16,2016,229,28.4,18.3,23,33
8,17,2016,230,28.4,17.5,22.5,1
8,18,2016,231,28.2,15.1,21.8,0
8,19,2016,232,27.4,19.2,22.4,1
8,20,2016,233,25.8,18.6,21.9,21
8,21,2016,234,22.7,14.6,19,0
8,22,2016,235,24.9,10.9,18.1,0
8,23,2016,236,26.7,12.1,19.3,0
8,24,2016,237,26.9,16.5,21.6,0
8,25,2016,238,27.4,16.8,23.3,2
8,26,2016,239,29.3,15.2,21.4,0
8,27,2016,240,27.7,18,20.7,14
8,28,2016,241,30.1,19.3,24.5,0
8,29,2016,242,30.8,19.8,23.4,0
8,30,2016,243,29,20.9,22.9,1
8,31,2016,244,25.3,16.5,22.2,0
9,1,2016,245,22.9,13.6,18.1,0
9,2,2016,246,23.6,11.8,17.4,0
9,3,2016,247,26.3,10.3,17.7,0
9,4,2016,248,26.5,10.3,18.5,0
9,5,2016,249,30.2,13.2,21.8,0
9,6,2016,250,32.1,21.3,26.1,0
9,7,2016,251,31.5,23.1,26.9,1
9,8,2016,252,26.4,18.7,23.6,5
9,9,2016,253,27.5,17.4,21.7,4
9,10,2016,254,22.3,14.6,19.3,12
9,11,2016,255,25,10.9,16.8,0
9,12,2016,256,24.7,9.8,17,0
9,13,2016,257,27.9,11.9,19.7,0
9,14,2016,258,23.6,13.5,18.7,0
9,15,2016,259,23.1,11.3,16.7,0
9,16,2016,260,26.6,11.2,18.5,0
9,17,2016,261,25.2,17.4,21.2,12
9,18,2016,262,25.4,12.7,19.5,0
9,19,2016,263,28.6,10.9,19.1,0
9,20,2016,264,28.4,13.2,21.4,0
9,21,2016,265,28.1,12.8,19.4,0
9,22,2016,266,28.4,15.3,20.9,0
9,23,2016,267,21.8,14.1,19,0
9,24,2016,268,23,11.7,16.4,0
9,25,2016,269,24.6,10.3,17.2,0
9,26,2016,270,19.7,12.9,16.9,4
9,27,2016,271,19.1,10.2,14.4,0
9,28,2016,272,17.6,9.7,12.6,2
9,29,2016,273,16.9,12.9,14.5,27
9,30,2016,274,16.4,14.3,14.9,3
10,1,2016,275,20.7,11.3,15.5,5
10,2,2016,276,20.8,11.1,14.7,4
10,3,2016,277,20.4,11.8,15,0
10,4,2016,278,23.7,11.4,16.5,0
10,5,2016,279,26.3,15.3,19.1,9
10,6,2016,280,24,13.2,18.7,3
10,7,2016,281,26.3,10.4,18.3,0
10,8,2016,282,14.1,3.5,10,0
10,9,2016,283,18.2,3.2,9.3,0
10,10,2016,284,19.1,3.1,10.4,0
10,11,2016,285,21.5,10.5,14.8,0
10,12,2016,286,22.5,9.6,15.5,18
10,13,2016,287,15.2,2.1,9.4,0
10,14,2016,288,17.4,1.4,8.4,0
10,15,2016,289,22,6.9,14,0
10,16,2016,290,19.3,16.5,17.7,13
10,17,2016,291,25.8,17,20.8,0
10,18,2016,292,24.8,9.7,20.5,0
10,19,2016,293,24.5,6.8,14.1,0
10,20,2016,294,12.9,9,12.3,1
10,21,2016,295,12.4,4.4,8.3,0
10,22,2016,296,13.2,2.9,7.5,0
10,23,2016,297,20.7,3.3,12.1,0
10,24,2016,298,13.2,3,9.6,0
10,25,2016,299,14.3,-1.2,5.6,0
10,26,2016,300,5.6,3.2,4.4,19
10,27,2016,301,7,3.5,5.4,2
10,28,2016,302,14.6,5.9,9.7,0
10,29,2016,303,19.5,13.2,16.8,0
10,30,2016,304,13.3,4.1,10.1,11
10,31,2016,305,12.6,0.8,6.7,0
11,1,2016,306,24.9,9.3,16.5,0
11,2,2016,307,17.6,13,15.2,5
11,3,2016,308,14.3,7.8,11.8,3
11,4,2016,309,14.7,2.3,8.3,0
11,5,2016,310,20,4.5,10.8,0
11,6,2016,311,21.3,1.8,10.1,0
11,7,2016,312,19.8,2.6,10.7,0
11,8,2016,313,15.1,4.8,9.9,1
11,9,2016,314,13,4.3,8.4,0
11,10,2016,315,17.6,4.6,10.5,0
11,11,2016,316,12.3,-0.3,8.1,0
11,12,2016,317,10.8,-4.8,2.9,0
11,13,2016,318,13.8,1.6,6.7,0
11,14,2016,319,16,3,8.3,0
11,15,2016,320,15,1.5,8,0
11,16,2016,321,13.6,1.4,7.2,0
11,17,2016,322,20.2,1.4,11.3,0
11,18,2016,323,21.1,6.8,15.9,9
11,19,2016,324,6.8,-0.8,1.7,6
11,20,2016,325,-0.4,-1.9,-1.2,0
11,21,2016,326,3.5,-4.1,-0.4,0
11,22,2016,327,5.6,-6.9,-1.3,0
11,23,2016,328,3.3,-0.4,1.5,15
11,24,2016,329,5.9,2.7,4.4,1
11,25,2016,330,3.3,2.3,2.8,3
11,26,2016,331,5.5,-0.2,3.2,0
11,27,2016,332,4.3,-1,1.9,0
11,28,2016,333,10.3,3.2,6.3,11
11,29,2016,334,14.2,7.5,10.4,4
11,30,2016,335,10.8,1.7,6.8,0
12,1,2016,336,4.4,0.9,2.3,6
12,2,2016,337,3.9,1,2.2,5
12,3,2016,338,2.1,0.6,1.5,0
12,4,2016,339,1.9,-1.1,0.3,7
12,5,2016,340,2.9,-2.2,0.8,2
12,6,2016,341,7.6,-3,1.1,0
12,7,2016,342,2.9,-2.1,-0.1,0
12,8,2016,343,-2,-4.7,-3.6,1
12,9,2016,344,-2.6,-5.2,-3.6,8
12,10,2016,345,-4.3,-6.2,-5.5,4
12,11,2016,346,-0.5,-6.1,-4,14
12,12,2016,347,0.8,-9.4,-1.9,1
12,13,2016,348,-3.6,-11.1,-7.1,0
12,14,2016,349,-7,-11.8,-9.3,4
12,15,2016,350,-8.6,-14.5,-11.6,2
12,16,2016,351,-8.7,-14.6,-11.3,5
