MONTH,DAY,YEAR,DOY,TMAX,TMIN,TMEAN,RAIN
1,1,2016,1,5.51,-5.19,-0.52,0.76
1,2,2016,2,10.28,-2.61,2.19,0
1,3,2016,3,7.77,-4.44,1.35,0
1,4,2016,4,4.94,-6.04,-1.56,0
1,5,2016,5,6.44,-6.7,-0.03,0.25
1,6,2016,6,5.45,1.39,3.82,3.05
1,7,2016,7,10.39,4.06,7.28,1.02
1,8,2016,8,5.03,2.47,4.01,0
1,9,2016,9,2.47,-5.94,-0.44,0.51
1,10,2016,10,-0.81,-10.76,-6.04,0
1,11,2016,11,9.1,-6.16,1.79,0
1,12,2016,12,10.98,-1.73,3.39,0
1,13,2016,13,13.11,-3.57,3.84,0
1,14,2016,14,18.08,-0.66,8.42,0
1,15,2016,15,9.93,1.95,5.7,0
1,16,2016,16,4.17,-4.51,0.02,0
1,17,2016,17,-0.65,-7.44,-3.78,0
1,18,2016,18,1.42,-10.26,-4.5,0
1,19,2016,19,4.32,-3.16,0.24,0.25
1,20,2016,20,0.29,-2.81,-1.04,0
1,21,2016,21,1.33,-0.92,0.33,0.25
1,22,2016,22,-0.89,-3.97,-1.72,0
1,23,2016,23,7.62,-3.37,0.73,0
1,24,2016,24,15.83,1.38,8.21,0
1,25,2016,25,11.04,-1.33,5.67,0
1,26,2016,26,9.55,-2.68,2.23,0
1,27,2016,27,14.54,-6.29,3.9,0
1,28,2016,28,18.3,-1.27,8.21,0
1,29,2016,29,24.54,2.79,13.26,0
1,30,2016,30,24.09,1.06,12.31,0
1,31,2016,31,16.75,3.06,10.84,0
2,1,2016,32,16.78,0.47,9.32,16.76
2,2,2016,33,10.85,2.1,6.73,1.78
2,3,2016,34,5.73,-1.77,1.86,0
2,4,2016,35,9.58,-5.53,1.69,0
2,5,2016,36,12.46,0.19,6.33,0
2,6,2016,37,10.65,1.52,5.62,0
2,7,2016,38,14.56,-1.03,6.68,0
2,8,2016,39,8.82,-0.82,4.66,0
2,9,2016,40,8.71,-2.45,2.94,0
2,10,2016,41,23.36,-4.38,8.71,0
2,11,2016,42,13.85,1.45,7.95,0
2,12,2016,43,11.75,-2,5.03,0
2,13,2016,44,12.35,-2.84,4.74,0
2,14,2016,45,14.1,3.02,8.22,0
2,15,2016,46,16.8,3.05,9.77,0
2,16,2016,47,14.41,1.34,9.93,0
2,17,2016,48,22.1,1.26,11.45,0
2,18,2016,49,25.46,9.74,17.59,0
2,19,2016,50,23.67,13.76,19.08,0
2,20,2016,51,26.67,10.41,18.1,0
2,21,2016,52,18.04,6.46,11.95,0
2,22,2016,53,14.11,1.57,8.19,0
2,23,2016,54,8.9,4.31,5.84,9.14
2,24,2016,55,13.4,0.5,6.63,0
2,25,2016,56,9.62,-1.6,4.36,0
2,26,2016,57,16.36,-5.16,5.89,0
2,27,2016,58,23.54,1.41,12.59,0
2,28,2016,59,22.48,7.32,16.13,0
2,29,2016,60,24.31,2.86,14.21,0
3,1,2016,61,14.64,2.18,9.91,0
3,2,2016,62,20.38,1.54,11.44,0
3,3,2016,63,17.23,4.62,11.45,0
3,4,2016,64,22.44,1.16,12.07,0
3,5,2016,65,22.78,4.62,13.63,0
3,6,2016,66,23.35,7.81,16.34,0
3,7,2016,67,19.05,16.38,17.65,0
3,8,2016,68,17.07,9.74,14.94,26.67
3,9,2016,69,15.61,10.01,12.26,0
3,10,2016,70,20.31,9.09,13.89,0
3,11,2016,71,19.62,7.38,12.64,3.56
3,12,2016,72,19.7,11.74,14.18,0
3,13,2016,73,16.23,8.91,12.94,10.16
3,14,2016,74,27.75,7.88,17.36,0
3,15,2016,75,21.22,8.59,15.47,0
3,16,2016,76,17.36,2.51,9.7,0
3,17,2016,77,20.39,5.47,12.9,0
3,18,2016,78,12.91,2.26,7.87,0
3,19,2016,79,12.3,-1.86,5.26,0
3,20,2016,80,10.2,-1.69,4.02,0
3,21,2016,81,19.98,-1.11,10.28,0
3,22,2016,82,24.84,11.33,17.61,0
3,23,2016,83,27.38,7.69,19.84,0
3,24,2016,84,13.95,1.42,7.79,0
3,25,2016,85,19.81,-1.41,9.6,0
3,26,2016,86,23.01,8.88,15.03,0
3,27,2016,87,13.36,2.13,6.98,5.84
3,28,2016,88,21.39,-0.81,11.18,0
3,29,2016,89,23.73,8.87,16.11,0
3,30,2016,90,29.02,16.28,20.9,1.02
3,31,2016,91,18.34,8.67,13.72,0
4,1,2016,92,16.63,4.18,9.58,0
4,2,2016,93,21.5,-1.46,11.09,0
4,3,2016,94,26.54,6.57,17.19,0
4,4,2016,95,26.87,8.26,18.46,0
4,5,2016,96,31.68,11.81,22.09,0
4,6,2016,97,22.07,8.1,17.32,0
4,7,2016,98,24.22,4.43,15.52,0
4,8,2016,99,21.22,3.38,13.28,0
4,9,2016,100,24.94,6.4,15.39,0
4,10,2016,101,30.95,14.33,21.52,57.4
4,11,2016,102,17.96,8.99,14.4,8.38
4,12,2016,103,20.65,5.26,13.18,0
4,13,2016,104,16.96,9.52,13.44,4.57
4,14,2016,105,21.3,6.74,14.02,0
4,15,2016,106,24.73,10.14,17.29,0
4,16,2016,107,22.5,15.57,18.52,0
4,17,2016,108,18.9,15.28,16.81,52.32
4,18,2016,109,17.6,11.51,14.75,4.32
4,19,2016,110,21.17,11.17,15.57,21.84
4,20,2016,111,20.27,11.26,15.08,0
4,21,2016,112,22.68,9.38,16.03,1.27
4,22,2016,113,25.55,9.01,17.47,0
4,23,2016,114,27.53,9.53,19.18,0
4,24,2016,115,26.57,15.18,20.64,0
4,25,2016,116,29.47,18.5,22.89,0
4,26,2016,117,25.76,14.38,21.78,30.99
4,27,2016,118,21.91,11.84,16.65,0
4,28,2016,119,22.65,7.89,15.41,0
4,29,2016,120,20.72,12.62,15.97,1.27
4,30,2016,121,20.44,9.32,14.07,0
5,1,2016,122,17.37,6.92,11.84,0.51
5,2,2016,123,16.85,7.4,11.59,0
5,3,2016,124,22.45,4.22,14.14,0
5,4,2016,125,25.52,9,17.63,0
5,5,2016,126,26.31,6.23,17.05,0
5,6,2016,127,28.66,9.18,19.99,0
5,7,2016,128,28.48,12.21,21.18,0
5,8,2016,129,24.05,16.88,20.17,0
5,9,2016,130,26.04,15.58,20.99,3.81
5,10,2016,131,32.37,10.66,22.94,0
5,11,2016,132,28.64,18.44,23.56,0
5,12,2016,133,25.45,13.31,19.89,0
5,13,2016,134,29.19,10.71,20.17,3.56
5,14,2016,135,17.79,9.54,12.86,0
5,15,2016,136,21.09,10.57,15.36,1.78
5,16,2016,137,21.38,12.99,16.33,11.43
5,17,2016,138,18.08,12.93,14.68,5.33
5,18,2016,139,20.03,10.03,14.34,0
5,19,2016,140,17,8.93,13.17,6.6
5,20,2016,141,22.21,13.15,16.97,0
5,21,2016,142,27.83,15.53,21.1,0
5,22,2016,143,28.25,17.95,23.01,0
5,23,2016,144,27.48,18.77,21.58,0.51
5,24,2016,145,31.06,18.3,23.32,16.76
5,25,2016,146,31.3,18.85,25.18,0
5,26,2016,147,30.42,21.83,26.19,0
5,27,2016,148,27.76,17.64,22.26,1.02
5,28,2016,149,28.95,16.37,22.32,0
5,29,2016,150,31.88,18.86,24.61,0
5,30,2016,151,27.14,18.3,21.88,0
5,31,2016,152,27.73,17.73,21.94,7.87
6,1,2016,153,26.4,19.1,21.97,0
6,2,2016,154,25.61,19.05,21.47,6.1
6,3,2016,155,26.73,18.16,21.98,0.25
6,4,2016,156,31.44,15.81,23.33,0
6,5,2016,157,29.47,13.92,22.25,0
6,6,2016,158,31.43,13.31,23.03,0
