MONTH,DAY,YEAR,DOY,TMAX,TMIN,TMEAN,RAIN
1,1,2016,1,7.913,5.171,6.542,0
1,2,2016,2,8.08,5.408,6.744,0
1,3,2016,3,15.99,5.104,10.547,0
1,4,2016,4,12.43,1.416,6.923,0
1,5,2016,5,9.61,1.178,5.394,0
1,6,2016,6,10.38,6.524,8.452,5.7
1,7,2016,7,21.79,8.96,15.375,0.1
1,8,2016,8,17.82,5.953,11.8865,0.25
1,9,2016,9,11.84,3.142,7.491,0.25
1,10,2016,10,7.674,-0.82,3.427,0
1,11,2016,11,12.46,-1.531,5.4645,0
1,12,2016,12,18.46,-0.108,9.176,0
1,13,2016,13,18.05,2.567,10.3085,0
1,14,2016,14,20.29,5.004,12.647,0
1,15,2016,15,20.16,8.32,14.24,0
1,16,2016,16,11.95,3.413,7.6815,0
1,17,2016,17,13.17,-1.327,5.9215,0
1,18,2016,18,12.8,0.603,6.7015,0
1,19,2016,19,19.85,3.446,11.648,0
1,20,2016,20,12.63,2.601,7.6155,0
1,21,2016,21,14.53,4.632,9.581,0
1,22,2016,22,10.55,2.059,6.3045,0
1,23,2016,23,11.78,-2.919,4.4305,0
1,24,2016,24,19.1,0.569,9.8345,0
1,25,2016,25,24.77,12.65,18.71,0
1,26,2016,26,13.21,5.241,9.2255,0
1,27,2016,27,12.97,1.957,7.4635,0
1,28,2016,28,21.48,-0.345,10.5675,0
1,29,2016,29,24.57,3.346,13.958,0
1,30,2016,30,24.74,6.834,15.787,0
1,31,2016,31,28.44,11.41,19.925,0
2,1,2016,32,24.36,7.883,16.1215,0
2,2,2016,33,20.43,9.44,14.935,0
2,3,2016,34,12.6,2.939,7.7695,0
2,4,2016,35,13.68,-1.429,6.1255,0
2,5,2016,36,15.07,-0.413,7.3285,0
2,6,2016,37,13.21,1.483,7.3465,2.2
2,7,2016,38,19.54,-0.82,9.36,0
2,8,2016,39,16.22,5.344,10.782,0
2,9,2016,40,21.86,2.668,12.264,0
2,10,2016,41,23.11,1.957,12.5335,0
2,11,2016,42,28.41,7.206,17.808,0
2,12,2016,43,24.19,7.68,15.935,0
2,13,2016,44,22.26,8.12,15.19,0
2,14,2016,45,22.91,12.29,17.6,0
2,15,2016,46,22.36,8.93,15.645,0
2,16,2016,47,25.45,6.461,15.9555,0
2,17,2016,48,21.86,8.32,15.09,0
2,18,2016,49,24.67,8.59,16.63,0
2,19,2016,50,25.51,17.14,21.325,0
2,20,2016,51,22.5,17.71,20.105,0
2,21,2016,52,20.53,15.99,18.26,8.15
2,22,2016,53,18.57,11.52,15.045,0.45
2,23,2016,54,14.22,7.713,10.9665,23.75
2,24,2016,55,16.66,5.241,10.9505,0
2,25,2016,56,16.77,3.278,10.024,0
2,26,2016,57,15.88,2.906,9.393,0
2,27,2016,58,21.55,4.362,12.956,0
2,28,2016,59,24.19,10.66,17.425,0
2,29,2016,60,24.43,15.41,19.92,0
3,1,2016,61,24.16,12.94,18.55,0
