FRMI
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2019-06-21 14:30	25.3	22.6	46.8	453.0	45.9	21.9	0.0	46	16	6	9.7
2019-06-21 15:00	25.0	22.7	46.8	341.0	47.4	21.4	0.0	43	14	4	9.7
2019-06-21 15:30	24.6	22.8	46.9	208.0	50.8	20.9	0.0	66	11	3	10.3
2019-06-21 16:00	23.7	22.7	46.9	172.0	51.0	20.7	0.0	79	9	1	10.2
2019-06-21 16:30	23.0	22.4	46.9	153.0	53.5	20.2	0.0	57	9	3	10.5
2019-06-21 17:00	22.1	22.1	46.8	82.0	54.3	19.6	0.0	48	16	4	10.1
2019-06-21 17:30	21.0	21.6	46.6	72.0	58.5	18.8	0.0	94	16	4	10.5
2019-06-21 18:00	20.4	21.2	46.6	76.0	57.5	18.8	0.0	197	11	3	10.2
2019-06-21 18:30	20.1	20.8	46.2	83.0	54.0	19.1	0.0	269	17	6	9.6
2019-06-21 19:00	19.9	20.5	46.0	70.0	55.5	18.7	0.0	302	19	8	9.6
2019-06-21 19:30	19.4	20.2	45.8	25.0	56.4	17.8	0.0	211	11	3	9.0
2019-06-21 20:00	18.8	19.9	45.8	9.0	57.6	16.9	0.0	316	11	4	8.5
2019-06-21 20:30	18.3	19.5	45.8	6.0	58.7	16.2	0.0	225	12	4	8.1
2019-06-21 21:00	17.8	19.2	45.8	0.0	59.7	15.7	0.0	118	14	3	7.9
2019-06-21 21:30	17.5	18.8	45.8	0.0	62.8	15.3	0.0	32	4	0	8.2
2019-06-21 22:00	17.2	18.6	45.8	0.0	63.9	15.0	0.0	190	6	0	8.2
2019-06-21 22:30	16.8	18.3	45.8	0.0	64.4	14.8	0.0	204	6	1	8.1
2019-06-21 23:00	16.4	17.9	45.8	0.0	64.9	14.6	0.0	146	4	0	8.1
2019-06-21 23:30	16.2	17.7	45.7	0.0	65.0	14.6	0.0	296	6	1	8.1
2019-06-22 00:00	16.1	17.5	45.5	0.0	65.7	14.7	0.0	326	4	0	8.3
2019-06-22 00:30	15.9	17.3	45.3	0.0	65.6	14.7	0.0	201	4	0	8.3
2019-06-22 01:00	15.7	17.1	45.2	0.0	66.2	14.7	0.0	262	8	0	8.5
2019-06-22 01:30	15.6	16.9	45.2	0.0	68.4	14.6	0.0	338	8	1	8.8
2019-06-22 02:00	15.4	16.8	45.2	0.0	70.8	14.3	0.0	334	6	0	9.1
2019-06-22 02:30	15.4	16.7	45.2	0.0	73.7	14.1	0.0	340	4	0	9.5
2019-06-22 03:00	15.3	16.6	45.2	0.0	71.8	14.3	0.0	282	3	0	9.3
2019-06-22 03:30	15.3	16.5	45.2	0.0	74.8	14.2	0.0	351	4	0	9.8
2019-06-22 04:00	15.3	16.4	45.2	0.0	72.4	14.7	0.0	316	6	0	9.8
2019-06-22 04:30	15.2	16.3	45.2	0.0	72.5	14.8	0.0	206	4	0	9.9
2019-06-22 05:00	15.1	16.2	45.2	0.0	74.4	14.6	0.0	345	4	0	10.1
2019-06-22 05:30	15.1	16.2	45.2	3.0	77.2	14.3	0.0	307	4	0	10.4
2019-06-22 06:00	15.2	16.1	45.2	18.0	78.2	14.7	0.0	14	3	0	10.9
2019-06-22 06:30	15.4	16.1	45.2	56.0	77.1	15.4	0.0	138	6	1	11.4
2019-06-22 07:00	15.8	16.2	45.2	109.0	76.2	16.3	0.0	207	4	0	12.1
2019-06-22 07:30	16.9	16.4	45.3	224.0	73.6	17.8	0.0	142	8	1	13.0
2019-06-22 08:00	17.9	16.9	45.3	241.0	73.7	18.7	0.0	36	11	3	13.9
2019-06-22 08:30	19.1	17.4	45.5	345.0	72.1	19.7	0.0	40	17	6	14.5
2019-06-22 09:00	20.8	18.1	45.7	490.0	69.2	21.1	0.0	38	14	6	15.2
2019-06-22 09:30	22.8	19.1	45.3	562.0	67.1	22.1	0.0	55	17	6	15.7
2019-06-22 10:00	24.4	20.1	45.3	592.0	65.6	23.1	0.0	66	14	6	16.3
2019-06-22 10:30	25.9	21.1	45.8	642.0	65.7	23.4	0.0	62	19	6	16.6
2019-06-22 11:00	27.4	22.2	46.0	701.0	64.9	23.8	0.0	55	19	6	16.8
2019-06-22 11:30	28.4	23.3	46.0	686.0	63.6	24.1	0.0	55	17	6	16.8
2019-06-22 12:00	30.1	24.2	46.1	895.0	61.6	25.3	0.0	40	17	6	17.4
