Texas (CST) SCAN Site Kingsville - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Jan 26 12:13:32 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.H-1 (degC) ,TMIN.H-1 (degC) ,TAVG.H-1 (degC) ,PRCP.H-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-2:-2 (degC) ,STO.I-2:-4 (degC) ,STO.I-2:-8 (degC) ,STO.I-2:-20 (degC) ,STO.I-2:-40 (degC) ,WSPDX.H-1 (mph) ,RHUM.I-1 (pct) ,DPTP.H-1 (degC) ,PVPV.H-1 (kPa) ,RHUMN.H-1 (pct) ,RHUMX.H-1 (pct) ,SVPV.H-1 (kPa) 
2206,1/1/2020,0:00,9.33,13,13.1,12.9,13,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.3,67,7,1,64,68,1.5
2206,1/1/2020,1:00,-99.9,12.6,13,12.6,12.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.8,66,6.6,0.97,65,67,1.48
2206,1/1/2020,2:00,-99.9,13.2,13.2,12.6,12.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,5.3,68,6.8,0.99,66,68,1.49
2206,1/1/2020,3:00,-99.9,13.2,13.4,13.2,13.3,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,5.6,72,8,1.07,68,72,1.53
2206,1/1/2020,4:00,-99.9,13.2,13.3,13.1,13.2,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.6,72,8.1,1.08,71,72,1.52
2206,1/1/2020,5:00,-99.9,14.4,14.4,13.2,13.7,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,8.5,73,8.9,1.14,72,73,1.57
2206,1/1/2020,6:00,-99.9,14.9,15,14.4,14.7,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,8,74,10,1.22,73,74,1.67
2206,1/1/2020,7:00,-99.9,14.9,15.1,14.9,15,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.7,78,10.6,1.28,74,78,1.7
2206,1/1/2020,8:00,-99.9,14,14.9,14,14.6,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,5.8,86,11.3,1.34,78,86,1.66
2206,1/1/2020,9:00,-99.9,14,14,13.8,14,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,5.1,100,13.4,1.54,86,100,1.59
2206,1/1/2020,10:00,-99.9,12.7,14,12.7,13.6,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,9.6,100,13.6,1.56,100,100,1.56
2206,1/1/2020,11:00,-99.9,13.4,13.4,12.7,13,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.8,100,13,1.5,100,100,1.5
2206,1/1/2020,12:00,-99.9,13.6,13.6,13.4,13.6,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,8,100,13.6,1.55,100,100,1.55
2206,1/1/2020,13:00,-99.9,13.9,13.9,13.6,13.7,0.02,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,7.8,100,13.7,1.57,100,100,1.57
2206,1/1/2020,14:00,-99.9,13.2,13.9,13,13.3,0.04,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,8.7,100,13.3,1.53,100,100,1.53
2206,1/1/2020,15:00,-99.9,13.3,13.4,13.2,13.3,0.03,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.6,100,13.3,1.53,100,100,1.53
2206,1/1/2020,16:00,-99.9,13.5,13.5,13.3,13.3,0.02,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,6.2,100,13.3,1.53,100,100,1.53
2206,1/1/2020,17:00,-99.9,13.7,13.7,13.5,13.6,0.02,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,25.1,7,100,13.6,1.56,100,100,1.56
