"TOA5","LTBE_CR1000_1","CR1000","11365","CR1000.Std.24","CPU:LTBE_VD_CSIv10.CR1","34610","fifteen"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","SlrMJ_Tot","AirTC_Avg","RH","Rain_mm_Tot","Rain_mm_2_Tot","AvgVP_15","AvgSVP_15","BattV_Min"
"TS","RN","m/s","Deg","Deg","m/s","MJ/m^2","Deg C","%","mm","mm","kPa","kPa","Volts"
"","","WVc","WVc","WVc","Max","Tot","Avg","Smp","Tot","Tot","Avg","Avg","Min"
"2018-12-01 00:00:00",34620,1.019,271.2,31.31,3.03,2.756117E-006,16.5,79.33,0,0,1.468061,1.876325,12.27
"2018-12-01 00:15:00",34621,0.643,239.9,23.58,1.75,1.680561E-006,16.28,79.19,0,0,1.456239,1.849374,12.26
"2018-12-01 00:30:00",34622,0.969,267.5,27.41,2.74,2.184792E-006,16.21,80.4,0,0,1.474982,1.84165,12.26
"2018-12-01 00:45:00",34623,1.344,283.1,19.18,2.98,4.437005E-006,16.58,76.82,0,0,1.50228,1.88532,12.25
"2018-12-01 01:00:00",34624,0.998,276.4,23.94,2.21,3.630471E-006,17.01,77.29,0,0,1.487298,1.938079,12.25
"2018-12-01 01:15:00",34625,1.004,262.9,24.87,2.79,3.966813E-006,16.88,70.72,0,0,1.455485,1.922407,12.24
"2018-12-01 01:30:00",34626,1.031,262.2,19.21,2.73,3.546704E-006,17.62,65.71,0,0,1.324717,2.014108,12.25
"2018-12-01 01:45:00",34627,1.103,270.7,18.82,2.19,4.06789E-006,17.4,62.62,0,0,1.287346,1.985884,12.24
"2018-12-01 02:00:00",34628,0.81,251.1,24.68,2.2,3.177052E-006,17.18,62.49,0,0,1.22289,1.958857,12.26
"2018-12-01 02:15:00",34629,0.61,247,29.88,1.62,2.723204E-006,16.69,63.27,0,0,1.190543,1.898363,12.22
"2018-12-01 02:30:00",34630,0.404,269,38.28,1.45,3.429242E-006,16.14,62.25,0,0,1.16612,1.833512,12.23
"2018-12-01 02:45:00",34631,0.312,237.5,57.34,1.04,2.403847E-006,15.85,61.88,0,0,1.108765,1.79951,12.27
"2018-12-01 03:00:00",34632,0.595,246,25.91,1.6,1.22715E-006,15.65,58.53,0,0,1.074177,1.776512,12.22
"2018-12-01 03:15:00",34633,0.846,215.9,18.91,1.92,2.286238E-006,15.59,57.68,0,0,1.044609,1.770102,12.21
"2018-12-01 03:30:00",34634,1.039,253.8,27.41,2.91,4.875149E-007,15.64,51.69,0,0,0.9659701,1.77566,12.22
"2018-12-01 03:45:00",34635,0.729,229.7,20.46,2.56,1.479375E-006,15.71,52.13,0,0,0.9225014,1.783719,12.25
"2018-12-01 04:00:00",34636,0.752,214.2,16.08,1.77,3.177309E-006,15.47,55.95,0,0,0.9508054,1.756587,12.25
"2018-12-01 04:15:00",34637,0.992,219.3,10.57,1.85,2.504871E-006,15.01,60.49,0,0,1.000495,1.705718,12.21
"2018-12-01 04:30:00",34638,1.002,221.2,10.69,1.94,2.404007E-006,14.3,64.39,0,0,1.028505,1.629382,12.2
"2018-12-01 04:45:00",34639,0.978,222.8,18.28,1.99,1.529823E-006,13.73,66.38,0,0,1.027402,1.570131,12.21
"2018-12-01 05:00:00",34640,0.541,251.8,24.38,2.05,1.143165E-006,13.39,60.66,0,0,0.9773875,1.535183,12.21
"2018-12-01 05:15:00",34641,1,232.5,19.38,3.49,2.639365E-006,13.87,55.55,0,0,0.933616,1.584549,12.22
"2018-12-01 05:30:00",34642,0.895,236.7,24.89,2.11,2.773855E-006,14.47,55.58,0,0,0.918101,1.646381,12.2
"2018-12-01 05:45:00",34643,0.83,266.3,27.18,2.18,2.43763E-006,14.15,57.95,0,0,0.9130646,1.612745,12.23
"2018-12-01 06:00:00",34644,0.867,285.5,16.54,1.91,3.059646E-006,13.51,61.24,0,0,0.9252657,1.547848,12.2
"2018-12-01 06:15:00",34645,0.981,291.7,16.08,2.75,3.429494E-006,13.25,60.39,0,0,0.9166903,1.521347,12.19
"2018-12-01 06:30:00",34646,0.883,285.5,15.85,2.36,3.278192E-006,13.2,59.64,0,0,0.9084388,1.515968,12.17
"2018-12-01 06:45:00",34647,1.338,271.6,19.9,2.89,9.649653E-006,13.33,55.48,0,0,0.8723235,1.529463,12.2
"2018-12-01 07:00:00",34648,0.832,233.1,20.88,2.03,0.000316354,13.31,57.41,0,0,0.8625982,1.527464,12.18
"2018-12-01 07:15:00",34649,0.901,235.4,20.22,2.13,0.002339923,13.04,55.28,0,0,0.8460068,1.501109,12.17
"2018-12-01 07:30:00",34650,0.771,238.4,22.11,1.71,0.01377657,13.45,53.62,0,0,0.8340364,1.540956,12.23
"2018-12-01 07:45:00",34651,0.872,223.4,20,1.96,0.03855969,13.69,54.29,0,0,0.8408236,1.566137,12.3
"2018-12-01 08:00:00",34652,1.076,228.3,18.46,2.23,0.063931,14.06,53.68,0,0,0.8765477,1.603406,12.51
"2018-12-01 08:15:00",34653,1.47,226.6,16.39,4.72,0.08931959,14.72,52.16,0,0,0.8946057,1.673938,12.84
"2018-12-01 08:30:00",34654,1.449,243.4,18.87,3.39,0.1155835,15.54,48.57,0,0,0.8859962,1.764951,13.21
