TOA5,CR1000_LTBE,CR1000,11365,CR1000.Std.32.05,CPU:LTBE_v15.CR1,64585,daily,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Min,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,SlrMJ_Tot,AirTC_Max,AirTC_Min,RH_Max,RH_Min,Rain_mm_Tot,Rain_mm_2_Tot,ETosDay_mm,ETrsDay_mm,KcETosDay_mm,KcETrsDay_mm,CC_SHORT,CC_TALL
TS,RN,Volts,m/s,Deg,Deg,m/s,MJ/m^2,Deg C,Deg C,%,%,mm,mm,,,,,,
,,Min,WVc,WVc,WVc,Max,Tot,Max,Min,Max,Min,Tot,Tot,Smp,Smp,Smp,Smp,Smp,Smp
01/01/20,757,11.54,2.115,182.9,37.4,8.63,1.492142,13.24,7.884,79.36,35.56,0,0,1.240648,2.023048,1.240648,2.023048,1,1
01/02/20,758,11.43,2.624,189.6,29.02,8.58,1.583711,15.21,7.413,98.9,79.32,0.6,0.6,0.5843622,0.8457013,0.5843622,0.8457013,1,1
01/03/20,759,11.32,2.751,313,31.78,11.93,8.243134,16.9,5.75,99.2,42.98,0.1,0.2,1.956963,2.899633,1.956963,2.899633,1,1
01/04/20,760,11.25,1.602,292.6,50.16,6.01,9.582207,21.92,2.465,76.13,22.09,0,0,2.088227,2.996123,2.088227,2.996123,1,1
01/05/20,761,11.18,2.196,210,39.67,9.33,10.4173,26,4.091,72.81,18.23,0,0,3.044374,4.683916,3.044374,4.683916,1,1
01/06/20,762,11.28,1.908,329.5,69.4,10.36,9.732379,22.26,3.752,81.1,38.48,0,0,2.042993,2.69186,2.042993,2.69186,1,1
01/07/20,763,11.31,1.745,292.4,80.4,7.15,10.9289,20.06,3.481,65.83,13.72,0,0,2.286248,3.212796,2.286248,3.212796,1,1
01/08/20,764,11.59,2.993,163.1,62.09,10.61,10.4702,19.79,-0.041,79.66,25.4,0,0,2.743317,4.182115,2.743317,4.182115,1,1
01/09/20,765,11.71,4.501,173.4,14.35,10.77,2.105668,23.69,15,94.4,65.72,0,0,1.350782,2.04921,1.350782,2.04921,1,1
01/10/20,766,11.59,4.617,172.4,46.55,13.31,1.409045,23.55,13.99,96.7,56.44,32.3,31.9,1.336087,2.096236,1.336087,2.096236,1,1
01/11/20,767,11.5,3.675,348.2,51.84,12.25,7.991266,14.63,2.398,91.2,51.35,0.3,0.2,1.385552,1.977903,1.385552,1.977903,1,1
01/12/20,768,11.84,1.872,152.7,49.16,7.56,7.937463,14.8,-0.379,97.5,51.08,0,0,1.284909,1.827923,1.284909,1.827923,1,1
01/13/20,769,11.92,1.603,135.8,49.3,5.01,2.746332,16.53,7.68,99.2,79.66,0,0.1,0.5408007,0.7002134,0.5408007,0.7002134,1,1
01/14/20,770,11.9,1.326,158,70.85,4.5,3.137584,23.01,13.18,99.7,77.85,0.3,0.3,0.5885963,0.7076157,0.5885963,0.7076157,1,1
01/15/20,771,11.81,3.019,179.7,41.61,9.76,4.710309,26.38,19.01,99.5,60.17,0.1,0.1,1.465461,2.180161,1.465461,2.180161,1,1
01/16/20,772,11.67,3.192,18.67,42.07,10.88,1.474189,19.52,12.09,99.7,81,8.3,8.2,0.3448826,0.4606166,0.3448826,0.4606166,1,1
01/17/20,773,11.57,1.779,330.2,100,6.69,1.622263,15.41,9.11,100,97.2,6.7,6.6,0.2508432,0.2742473,0.2508432,0.2742473,1,1
01/18/20,774,11.42,3.907,341.6,57.17,13.3,7.883262,17.89,6.732,99.6,48.78,0,0.1,2.275481,3.41087,2.275481,3.41087,1,1
01/19/20,775,11.35,4.127,20.02,22.37,9.85,9.476181,12.9,2.059,59.6,26.82,0,0,2.699785,4.064856,2.699785,4.064856,1,1
01/20/20,776,11.3,1.359,11.81,64.39,5.44,9.359162,14.81,0.637,78.7,23.71,0,0,1.766051,2.473044,1.766051,2.473044,1,1
01/21/20,777,11.33,2.343,136.2,61.91,9,6.424265,15.21,1.517,80,29.67,0.2,0.2,1.93991,2.878646,1.93991,2.878646,1,1
01/22/20,778,11.28,2.416,115.5,37.66,6.69,0.6966489,9.99,6.19,99.8,79.31,15.4,15.6,0.1542004,0.1909844,0.1542004,0.1909844,1,1
01/23/20,779,11.17,2.65,327.3,52.44,10.28,5.42942,14.87,7.206,100,59.88,0.2,0.3,1.062786,1.55359,1.062786,1.55359,1,1
01/24/20,780,11.1,1.39,315.7,81.2,5.44,9.819518,19.76,2.398,95.4,24.32,0,0,1.771245,2.400076,1.771245,2.400076,1,1
01/25/20,781,11.45,2.43,156.6,46.55,11.66,5.27826,18.43,3.921,97.5,55.75,0.5,0.5,1.598432,2.415458,1.598432,2.415458,1,1
01/26/20,782,11.38,2.208,353.2,80.9,8.38,10.46424,23.21,10.53,99.6,36.79,0.3,0.3,2.421713,3.461242,2.421713,3.461242,1,1
01/27/20,783,11.25,2.252,138.3,75.23,7.72,5.837325,16.77,5.919,99.2,72.89,0,0,0.8630757,1.109714,0.8630757,1.109714,1,1
01/28/20,784,11.12,3.98,221.7,74.79,14.35,5.252138,20.43,7.785,98.4,37.97,9,9.2,1.511403,2.162534,1.511403,2.162534,1,1
01/29/20,785,11.06,4.268,359,31.2,12.03,9.198237,12.97,3.481,92.9,57.58,0,0,1.737352,2.450176,1.737352,2.450176,1,1
01/30/20,786,11.31,2.372,23.48,24.14,6.82,2.482878,8.63,5.242,90.3,73.55,0,0,0.5935374,0.8277221,0.5935374,0.8277221,1,1
01/31/20,787,11.13,2.01,332.5,32.47,8.31,9.767895,14.16,3.481,93.3,45.18,0,0,1.617028,2.232768,1.617028,2.232768,1,1
02/01/20,788,11.04,1.619,294.2,43.05,7.98,11.17428,21.82,1.043,92.9,18.02,0,0,2.382802,3.447974,2.382802,3.447974,1,1
02/02/20,789,11.1,2.611,219.9,48.23,10.77,12.74955,26.54,5.953,68.74,14.84,0,0,4.077755,6.138961,4.077755,6.138961,1,1
02/03/20,790,11.15,4.684,187.6,17.97,13.65,3.985858,21.65,10.94,89,53.78,0.3,0.2,1.614628,2.430922,1.614628,2.430922,1,1
02/04/20,791,10.93,4.301,294.3,95.1,12.78,6.488872,22.91,5.649,97.3,63.35,0,0,1.561895,2.103315,1.561895,2.103315,1,1
02/05/20,792,10.83,5.485,343.8,15.34,11.91,2.225223,5.784,-0.786,95.2,72.4,0.1,0.1,0.6539211,0.9488277,0.6539211,0.9488277,1,1
02/06/20,793,10.73,2.517,304.7,40.56,10.48,10.62348,11.14,-2.276,97.1,22.22,0.8,0.7,1.928653,2.84767,1.928653,2.84767,1,1
02/07/20,794,11,2.062,288.5,85,8.38,11.97554,20.43,0.095,71.25,24.59,0,0,2.884988,4.170761,2.884988,4.170761,1,1
02/08/20,795,10.96,3.005,99.6,50.53,8.61,8.467448,19.96,5.073,88.9,35.36,0,0,2.324114,3.411917,2.324114,3.411917,1,1
02/09/20,796,10.69,3.444,171.6,15.47,10.17,1.174083,21.75,15.58,96.8,85.5,1,1.1,0.4827969,0.7027732,0.4827969,0.7027732,1,1
02/10/20,797,8.77,3.985,348.3,56.25,10.27,1.348825,20.57,5.174,98.5,78.85,0.9,0.9,0.6394541,0.9753444,0.6394541,0.9753444,1,1
04/15/20,798,12.41,1.306,95.2,54.38,5.63,15.86381,18.13,10.16,73.97,39.16,0,0,2.666659,3.265728,2.666659,3.265728,1,1
04/16/20,799,12.33,2.721,155.3,33.54,9.88,20.03566,24.11,7.552,86.7,39.36,0,0,4.331356,5.859451,4.331356,5.859451,1,1
04/17/20,800,12.27,2.615,39.48,79.76,10.09,3.029629,20.5,11.48,94,72.89,0,0,0.9164797,1.256394,0.9164797,1.256394,1,1
04/18/20,801,12.23,2.09,47.01,76.61,6.49,4.655142,16.77,10.94,98.6,67.13,0,0,1.313368,1.791179,1.313368,1.791179,1,1
