TMPL
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2020-01-01 00:00	6.9	10.5		0.0	62.1	4.7	0.0	60	0	0	-1.9
2020-01-01 00:15	7.2	10.4		0.0	69.0	4.2	0.0	60	0	0	-1.0
2020-01-01 00:30	7.6	10.4		0.0	81.3	4.7	0.0	60	0	0	1.8
2020-01-01 00:45	7.9	10.4		0.0	77.7	5.3	0.0	60	0	0	1.7
2020-01-01 01:00	8.2	10.3		0.0	70.1	6.6	0.0	60	0	0	1.5
2020-01-01 01:15	8.4	10.3		0.0	74.8	6.7	0.0	60	0	0	2.5
2020-01-01 01:30	8.5	10.3		0.0	76.1	6.8	0.0	60	0	0	2.9
2020-01-01 01:45	8.6	10.3		0.0	57.1	7.8	0.0	49	0	0	-0.2
2020-01-01 02:00	8.6	10.4		0.0	53.9	8.1	0.0	28	0	0	-0.7
2020-01-01 02:15	8.6	10.4		0.0	55.2	7.9	0.0	28	0	0	-0.5
2020-01-01 02:30	8.7	10.4		0.0	58.1	7.8	0.0	50	0	0	0.1
2020-01-01 02:45	8.8	10.4		0.0	62.3	7.7	0.0	63	0	0	0.9
2020-01-01 03:00	8.8	10.4		0.0	58.8	7.8	0.0	63	0	0	0.2
2020-01-01 03:15	8.8	10.4		0.0	59.4	7.8	0.0	63	0	0	0.4
2020-01-01 03:30	8.9	10.4		0.0	59.4	8.0	0.0	63	0	0	0.6
2020-01-01 03:45	8.9	10.4		0.0	55.8	8.1	0.0	45	0	0	-0.2
2020-01-01 04:00	8.9	10.4		0.0	57.3	8.1	0.0	36	0	0	0.2
2020-01-01 04:15	8.9	10.4		0.0	58.5	8.1	0.0	36	0	0	0.4
2020-01-01 04:30	8.9	10.4		0.0	62.8	7.9	0.0	36	0	0	1.2
2020-01-01 04:45	8.9	10.4		0.0	62.4	7.9	0.0	36	0	0	1.1
2020-01-01 05:00	9.0	10.4		0.0	61.2	8.0	0.0	45	0	0	1.0
2020-01-01 05:15	9.0	10.4		0.0	61.6	8.1	0.0	159	1	0	1.2
2020-01-01 05:30	9.0	10.4		0.0	61.0	8.2	0.0	350	1	0	1.1
2020-01-01 05:45	9.1	10.5		0.0	66.5	8.1	0.0	350	1	0	2.2
2020-01-01 06:00	9.1	10.5		0.0	69.4	8.0	0.0	350	0	0	2.7
2020-01-01 06:15	9.1	10.5		0.0	73.1	8.0	0.0	350	0	0	3.5
2020-01-01 06:30	9.2	10.5		0.0	71.2	8.0	0.0	350	0	0	3.1
2020-01-01 06:45	9.2	10.5		0.0	75.2	7.9	0.0	350	0	0	3.8
2020-01-01 07:00	9.2	10.5		0.0	74.0	8.0	0.0	350	0	0	3.6
2020-01-01 07:15	9.3	10.5		0.0	73.5	8.2	0.0	350	0	0	3.7
2020-01-01 07:30	9.2	10.5		0.0	70.5	8.1	0.0	350	0	0	3.1
2020-01-01 07:45	9.2	10.6		0.0	63.5	8.4	0.0	343	0	0	1.9
2020-01-01 08:00	8.9	10.6		0.0	61.5	8.5	0.0	323	3	0	1.5
2020-01-01 08:15	8.7	10.6		0.0	62.2	8.3	0.0	324	3	0	1.5
2020-01-01 08:30	8.6	10.5		1.0	63.5	8.1	0.0	323	1	0	1.6
2020-01-01 08:45	8.9	10.5		4.0	63.7	8.3	0.0	323	0	0	1.8
2020-01-01 09:00	9.1	10.5		8.0	65.8	8.5	0.0	323	0	0	2.5
2020-01-01 09:15	9.3	10.5		14.0	64.2	8.7	0.0	323	0	0	2.3
2020-01-01 09:30	9.3	10.5		12.0	65.1	8.8	0.0	323	0	0	2.6
2020-01-01 09:45	9.5	10.5		21.0	64.5	8.9	0.0	323	0	0	2.6
2020-01-01 10:00	9.6	10.5		30.0	65.4	9.1	0.0	312	3	0	2.9
2020-01-01 10:15	9.7	10.6		38.0	64.1	9.3	0.0	320	4	0	2.9
2020-01-01 10:30	9.8	10.6		65.0	61.2	9.6	0.0	321	8	3	2.5
2020-01-01 10:45	10.1	10.6		69.0	58.7	10.0	0.0	323	8	1	2.3
2020-01-01 11:00	10.2	10.6		69.0	56.4	10.3	0.0	333	8	3	2.0
2020-01-01 11:15	10.2	10.7		70.0	56.3	10.6	0.0	331	6	3	2.3
2020-01-01 11:30	10.4	10.7		89.0	54.6	11.1	0.0	327	9	3	2.3
2020-01-01 11:45	10.7	10.7		105.0	49.2	11.6	0.0	323	11	3	1.3
